Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	       0.2893627	       0.8233093
6.2500000000000e-002	       0.1068821	     -0.04377153
1.2500000000000e-001	       0.1704597	      0.05325174
1.8750000000000e-001	       0.2206578	     -0.01814016
2.5000000000000e-001	       0.2078976	      0.02744293
3.1250000000000e-001	       0.1902756	     -0.01914391
3.7500000000000e-001	       0.1687059	     -0.08366884
4.3750000000000e-001	       0.1281334	      0.02059997
5.0000000000000e-001	       0.1298819	      -0.0223501
5.6250000000000e-001	       0.1247998	      0.06668152
6.2500000000000e-001	       0.1431315	      0.02333293
6.8750000000000e-001	       0.1701881	      -0.1360013
7.5000000000000e-001	       0.1341769	      0.04216864
8.1250000000000e-001	       0.1101153	        0.146352
8.7500000000000e-001	       0.0925401	      -0.1244721
9.3750000000000e-001	       0.1016405	     -0.06453579
1.0000000000000e+000	        0.081104	      0.02960492
1.0625000000000e+000	      0.06316938	      0.03037021
1.1250000000000e+000	      0.04552683	       0.1021002
1.1875000000000e+000	      0.02544507	     -0.02832841
1.2500000000000e+000	      0.03394473	      0.01834961
1.3125000000000e+000	      0.03604259	      0.02992519
1.3750000000000e+000	      0.01904426	     -0.01073239
1.4375000000000e+000	      0.01339719	     -0.04775486
1.5000000000000e+000	      0.03057055	      0.09977981
1.5625000000000e+000	     0.005484268	      0.08830173
1.6250000000000e+000	    -0.007904496	     -0.02065691
1.6875000000000e+000	    -0.009021576	     -0.04468089
1.7500000000000e+000	     -0.02448601	      0.03666417
1.8125000000000e+000	     -0.03245616	     -0.02215709
1.8750000000000e+000	     -0.01766627	     -0.01228022
1.9375000000000e+000	     -0.02197685	      0.01069803
2.0000000000000e+000	     -0.02916626	     -0.02764009
2.0625000000000e+000	     -0.05082767	      0.04969951
2.1250000000000e+000	     -0.05653926	      0.05366704
2.1875000000000e+000	     -0.05941618	      0.01198459
2.2500000000000e+000	     -0.06006678	     0.007078916
2.3125000000000e+000	     -0.04393868	     0.007040609
2.3750000000000e+000	     -0.04174351	      0.03129861
2.4375000000000e+000	     -0.05174368	      0.02426483
2.5000000000000e+000	     -0.06673087	      0.03860903
2.5625000000000e+000	     -0.07297022	     -0.01418747
2.6250000000000e+000	     -0.07431474	     -0.06327228
2.6875000000000e+000	     -0.07441474	     0.007762807
2.7500000000000e+000	     -0.06388928	   -0.0005759303
2.8125000000000e+000	     -0.06041303	      -0.0550824
2.8750000000000e+000	     -0.06494607	       0.0355633
2.9375000000000e+000	     -0.06563988	     -0.01718054
3.0000000000000e+000	     -0.07541823	     -0.04056595
3.0625000000000e+000	     -0.07106207	     -0.03697098
3.1250000000000e+000	     -0.06271723	     -0.04447059
3.1875000000000e+000	     -0.06641195	    -0.005894925
3.2500000000000e+000	     -0.04196173	      0.02857397
3.3125000000000e+000	     -0.04569205	    -0.005401101
3.3750000000000e+000	     -0.04930437	   -0.0002253444
3.4375000000000e+000	      -0.0482551	    -0.002674418
3.5000000000000e+000	     -0.05087857	     -0.05901347
3.5625000000000e+000	     -0.04803723	     -0.04051961
3.6250000000000e+000	     -0.04049921	     -0.02934078
3.6875000000000e+000	     -0.04790997	     -0.02938977
3.7500000000000e+000	     -0.04464803	     -0.02808674
3.8125000000000e+000	     -0.04947568	     0.008776443
3.8750000000000e+000	     -0.05069827	     -0.01055595
3.9375000000000e+000	     -0.03740466	     0.009709015
4.0000000000000e+000	     -0.01930426	      0.02963607
4.0625000000000e+000	     -0.02060794	      0.04252557
4.1250000000000e+000	     -0.01740596	     0.004510013
4.1875000000000e+000	     -0.01374429	     -0.02891435
4.2500000000000e+000	     -0.01279101	      0.01960944
4.3125000000000e+000	    -0.007151861	      0.02570606
4.3750000000000e+000	    -0.001084862	      0.01024957
4.4375000000000e+000	   -0.0001373999	    -0.000227672
4.5000000000000e+000	     -0.01069108	      0.02122569
4.5625000000000e+000	     -0.01312522	     -0.03396529
