Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-9.9609375000000e-002	        1.922902	        2.815674
-9.8632812500000e-002	        1.924796	        3.401612
-9.7656250000000e-002	        1.919459	        3.571987
-9.6679687500000e-002	         1.91106	        3.124069
-9.5703125000000e-002	        1.907381	        2.641508
-9.4726562500000e-002	        1.909472	         2.43849
-9.3750000000000e-002	        1.916407	        2.646565
-9.2773437500000e-002	        1.929433	        2.293787
-9.1796875000000e-002	        1.945206	        1.662211
-9.0820312500000e-002	        1.969047	        1.617564
-8.9843750000000e-002	        1.994823	       0.8151209
-8.8867187500000e-002	        2.022638	       -1.149643
-8.7890625000000e-002	         2.05718	       -2.672924
-8.6914062500000e-002	        2.175158	       -3.432559
-8.5937500000000e-002	        2.196148	       -3.843157
-8.4960937500000e-002	        2.101412	       -3.183431
-8.3984375000000e-002	        2.037782	       -2.161936
-8.3007812500000e-002	        2.004532	       -0.314112
-8.2031250000000e-002	        2.017728	        1.120826
-8.1054687500000e-002	        2.043819	        2.220301
-8.0078125000000e-002	        2.086195	         2.87187
-7.9101562500000e-002	        2.124874	        3.791359
-7.8125000000000e-002	          2.1599	        4.103737
-7.7148437500000e-002	        2.238625	        3.752926
-7.6171875000000e-002	        2.353244	        3.170443
-7.5195312500000e-002	        2.302987	        2.910237
-7.4218750000000e-002	        2.217544	        1.996663
-7.3242187500000e-002	         2.17316	        1.786709
-7.2265625000000e-002	        2.173482	        1.346129
-7.1289062500000e-002	        2.195854	        1.084782
-7.0312500000000e-002	        2.232287	        1.466567
-6.9335937500000e-002	        2.281186	      -0.2909892
-6.8359375000000e-002	        2.272476	        -1.59312
-6.7382812500000e-002	        2.245323	       -2.332311
-6.6406250000000e-002	        2.235165	        -2.80174
-6.5429687500000e-002	        2.251131	       -2.801857
-6.4453125000000e-002	        2.276429	       -2.212105
-6.3476562500000e-002	        2.294193	       -1.259705
-6.2500000000000e-002	        2.319455	       0.4198295
-6.1523437500000e-002	        2.321819	        2.312312
-6.0546875000000e-002	        2.286498	        3.046418
-5.9570312500000e-002	        2.236758	        3.398781
-5.8593750000000e-002	        2.219766	        3.552003
-5.7617187500000e-002	        2.228038	        3.104997
-5.6640625000000e-002	        2.242483	        2.678482
-5.5664062500000e-002	        2.260435	        2.390698
-5.4687500000000e-002	        2.271139	        2.209018
-5.3710937500000e-002	         2.27617	        1.620613
-5.2734375000000e-002	        2.281717	        1.519725
-5.1757812500000e-002	        2.287777	        1.348727
-5.0781250000000e-002	        2.281759	        1.058885
-4.9804687500000e-002	        2.284523	       0.5941997
-4.8828125000000e-002	        2.279022	       -2.050774
-4.7851562500000e-002	        2.273218	       -3.095756
-4.6875000000000e-002	         2.26804	        -3.35239
-4.5898437500000e-002	        2.244436	       -4.258033
-4.4921875000000e-002	        2.231513	       -3.946809
-4.3945312500000e-002	         2.23884	       -2.541039
-4.2968750000000e-002	        2.256034	       -1.003945
-4.1992187500000e-002	        2.263628	       0.9385524
-4.1015625000000e-002	        2.268709	        1.224419
-4.0039062500000e-002	        2.273152	        1.781359
-3.9062500000000e-002	        2.271634	        2.774821
-3.8085937500000e-002	        2.277245	        3.228342
-3.7109375000000e-002	        2.284736	         3.31018
-3.6132812500000e-002	        2.295285	          3.1352
-3.5156250000000e-002	        2.294936	         2.67461
-3.4179687500000e-002	        2.296269	        2.618758
-3.3203125000000e-002	        2.304102	        2.362351
-3.2226562500000e-002	        2.315091	        2.342538
-3.1250000000000e-002	        2.318931	        2.239161
-3.0273437500000e-002	        2.325114	        1.618955
-2.9296875000000e-002	        2.338726	       0.3001567
-2.8320312500000e-002	        2.351175	       -1.560238
-2.7343750000000e-002	        2.354785	       -2.107913
-2.6367187500000e-002	        2.352873	       -2.814065
-2.5390625000000e-002	        2.369582	       -2.731988
-2.4414062500000e-002	        2.387873	       -2.243423
-2.3437500000000e-002	        2.400012	      -0.7417166
-2.2460937500000e-002	        2.415741	       0.6868763
-2.1484375000000e-002	        2.429358	        1.607324
-2.0507812500000e-002	        2.443295	        2.621928
-1.9531250000000e-002	        2.455376	        3.206199
-1.8554687500000e-002	        2.468487	        4.018571
-1.7578125000000e-002	        2.485209	        3.541633
-1.6601562500000e-002	         2.50498	        3.163679
-1.5625000000000e-002	        2.539797	         2.62845
-1.4648437500000e-002	        2.580409	        2.834309
