Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
4.6250000000000e+000	    -0.003477097	      0.06540173
4.6875000000000e+000	    -0.003307557	       0.0956258
4.7500000000000e+000	     -0.00393634	       0.1022416
4.8125000000000e+000	      -0.0042752	       0.1105636
4.8750000000000e+000	    -0.004563308	      0.04530463
4.9375000000000e+000	    -0.004344765	      0.08426973
5.0000000000000e+000	    -0.004384321	       0.1036963
5.0625000000000e+000	    -0.004599056	        0.093179
5.1250000000000e+000	    -0.004194236	       0.0314511
5.1875000000000e+000	    -0.004093287	       0.1401984
5.2500000000000e+000	    -0.004515647	      0.06245641
5.3125000000000e+000	     -0.00472628	      0.02954283
5.3750000000000e+000	    -0.004599432	      0.07481683
5.4375000000000e+000	    -0.004420087	      0.03359077
5.5000000000000e+000	    -0.004602658	      0.02196861
5.5625000000000e+000	    -0.004674762	      0.02431617
5.6250000000000e+000	    -0.004503198	      0.04387241
5.6875000000000e+000	    -0.004262693	      0.01990844
5.7500000000000e+000	    -0.004385252	      0.04103757
5.8125000000000e+000	    -0.004146478	      0.08147558
5.8750000000000e+000	    -0.004429447	      0.01395093
5.9375000000000e+000	     -0.00427529	      0.03695218
6.0000000000000e+000	    -0.004103759	      0.08016702
6.0625000000000e+000	    -0.003976984	      0.01396715
6.1250000000000e+000	    -0.004048535	      0.08621242
6.1875000000000e+000	    -0.004090574	       0.1052005
6.2500000000000e+000	    -0.003943061	      0.06514955
6.3125000000000e+000	    -0.003537301	    -0.001995209
6.3750000000000e+000	    -0.003765899	      0.01848861
6.4375000000000e+000	      -0.0036831	     0.003688192
6.5000000000000e+000	    -0.003419652	      0.07091475
6.5625000000000e+000	    -0.003012875	      0.03841689
6.6250000000000e+000	    -0.003053156	      0.08945823
6.6875000000000e+000	    -0.003024318	      0.04140935
6.7500000000000e+000	    -0.002657826	      0.02484377
6.8125000000000e+000	    -0.002430475	      0.03504085
6.8750000000000e+000	     -0.00224586	       0.0509549
6.9375000000000e+000	    -0.002114669	      0.05352621
7.0000000000000e+000	    -0.001918992	      0.02421708
7.0625000000000e+000	    -0.001812987	     0.004904327
7.1250000000000e+000	    -0.001564438	      0.03559186
7.1875000000000e+000	    -0.001221523	      0.01643085
7.2500000000000e+000	    -0.001239117	     -0.01831452
7.3125000000000e+000	    -0.001151352	    -0.006780876
7.3750000000000e+000	   -0.0009317782	      0.02024107
7.4375000000000e+000	   -0.0006049944	      0.01801227
7.5000000000000e+000	   -0.0006083685	     -0.02829865
7.5625000000000e+000	   -0.0005761457	     -0.03163072
7.6250000000000e+000	   -0.0003307369	     -0.02599112
7.6875000000000e+000	   -0.0001167832	      0.03605669
7.7500000000000e+000	     0.000213204	     -0.03056693
7.8125000000000e+000	      0.00014628	      0.03379441
7.8750000000000e+000	    0.0002279447	      0.01940936
7.9375000000000e+000	    0.0007645907	     0.004248973
8.0000000000000e+000	     0.001087932	     -0.05190404
8.0625000000000e+000	      0.00121273	     -0.03461416
8.1250000000000e+000	     0.001272361	     -0.07404819
8.1875000000000e+000	     0.001441845	     -0.04271227
8.2500000000000e+000	      0.00175239	     -0.07079872
8.3125000000000e+000	     0.001855068	     -0.05725967
8.3750000000000e+000	     0.002041325	     -0.03886155
8.4375000000000e+000	     0.002366469	     -0.05522789
8.5000000000000e+000	     0.002468637	     -0.09802202
8.5625000000000e+000	     0.002526349	     -0.05884682
8.6250000000000e+000	     0.002664535	     -0.08296112
8.6875000000000e+000	     0.002924976	      -0.1038138
8.7500000000000e+000	     0.002953065	      -0.1044691
8.8125000000000e+000	     0.003084516	     -0.06923942
8.8750000000000e+000	     0.002989556	     -0.07152101
8.9375000000000e+000	     0.003282879	     -0.04902812
9.0000000000000e+000	     0.003540359	     -0.07478376
9.0625000000000e+000	     0.003554594	     -0.07821436
9.1250000000000e+000	     0.003721969	     -0.06264995
9.1875000000000e+000	     0.003694772	     -0.06487335
9.2500000000000e+000	     0.003730336	     -0.05710778
9.3125000000000e+000	     0.004055682	     -0.06496278
9.3750000000000e+000	     0.004092294	     -0.04777875
9.4375000000000e+000	     0.004342983	     -0.04391192
9.5000000000000e+000	     0.004374547	     -0.05084588
9.5625000000000e+000	     0.004325597	     -0.07226368
9.6250000000000e+000	     0.004280256	     -0.02447923
9.6875000000000e+000	     0.004345941	     -0.05901615
9.7500000000000e+000	     0.004304576	     -0.04660169
9.8125000000000e+000	     0.004520523	     -0.07422534
9.8750000000000e+000	     0.004508178	     -0.01502693
9.9375000000000e+000	     0.004609986	     -0.06107108
1.0000000000000e+001	     0.004698275	     -0.05782484
1.0062500000000e+001	     0.004575581	     -0.06089209
1.0125000000000e+001	     0.004595705	      -0.0160433
1.0187500000000e+001	      0.00461135	     -0.06673057
1.0250000000000e+001	     0.004553535	     -0.01910462
1.0312500000000e+001	     0.004683563	     -0.05628271
1.0375000000000e+001	     0.004452452	     -0.04603795
1.0437500000000e+001	     0.004537645	     -0.04581878
1.0500000000000e+001	     0.004485277	     -0.05508818
1.0562500000000e+001	     0.004369052	      -0.0254065
1.0625000000000e+001	     0.004341481	     -0.04582833
1.0687500000000e+001	     0.004308856	     -0.04639268
1.0750000000000e+001	     0.004210102	     -0.04269133
1.0812500000000e+001	     0.004172057	      -0.0716869
1.0875000000000e+001	     0.004088897	     -0.04161107
1.0937500000000e+001	     0.004103746	     -0.03663328
1.1000000000000e+001	     0.003978286	     -0.07268986
1.1062500000000e+001	     0.003788545	     -0.02719667
1.1125000000000e+001	     0.003780637	     -0.03594277
1.1187500000000e+001	     0.003631705	     -0.02495678
1.1250000000000e+001	     0.003504032	     -0.04552319
1.1312500000000e+001	     0.003260752	     -0.04461141
1.1375000000000e+001	     0.003159471	     -0.03271801
1.1437500000000e+001	     0.002970738	     -0.01803179
1.1500000000000e+001	       0.0029354	     -0.02918789
1.1562500000000e+001	     0.002731678	    -0.009411061
1.1625000000000e+001	     0.002721241	     -0.03668193
1.1687500000000e+001	     0.002518625	     -0.00330598
1.1750000000000e+001	     0.002240132	     -0.04076792
1.1812500000000e+001	     0.002052271	     -0.04606609
1.1875000000000e+001	     0.002090585	   -0.0004852714
1.1937500000000e+001	     0.001819595	     -0.02690141
1.2000000000000e+001	     0.001656133	     -0.03152319
1.2062500000000e+001	     0.001309371	     -0.01022735
1.2125000000000e+001	     0.001207355	   1.857057e-005
1.2187500000000e+001	    0.0009766717	    -0.008570241
1.2250000000000e+001	    0.0009531204	     -0.03011019
1.2312500000000e+001	    0.0007218858	     0.006952919
1.2375000000000e+001	    0.0004741724	      0.03028786
1.2437500000000e+001	    0.0004642524	      0.06210487
1.2500000000000e+001	    0.0001060665	       0.0553064
1.2562500000000e+001	  -3.329199e-005	      0.04291569
1.2625000000000e+001	   -0.0001986455	      0.04394319
1.2687500000000e+001	   -0.0004090583	      0.04040821
1.2750000000000e+001	   -0.0005702453	       0.0674385
1.2812500000000e+001	   -0.0008389435	      0.04354652
1.2875000000000e+001	   -0.0008750746	      0.06448859
1.2937500000000e+001	    -0.001145266	      0.06608699
1.3000000000000e+001	    -0.001268853	      0.05535084
1.3062500000000e+001	    -0.001473155	      0.08044041
1.3125000000000e+001	    -0.001594711	       0.0644386
1.3187500000000e+001	    -0.001716238	      0.04544917
1.3250000000000e+001	    -0.001887284	      0.06742033
1.3312500000000e+001	    -0.002147142	      0.07292169
1.3375000000000e+001	    -0.002365377	      0.04889655
1.3437500000000e+001	     -0.00243513	      0.04126448
1.3500000000000e+001	    -0.002586625	      0.05799799
1.3562500000000e+001	    -0.002738773	       0.0601483
1.3625000000000e+001	    -0.002886307	      0.07432795
1.3687500000000e+001	     -0.00303299	      0.06112495
1.3750000000000e+001	    -0.003189081	      0.06697014
1.3812500000000e+001	    -0.003346126	      0.07747932
1.3875000000000e+001	    -0.003454171	      0.05955842
1.3937500000000e+001	    -0.003654526	      0.05942232
1.4000000000000e+001	    -0.003548491	      0.08793011
1.4062500000000e+001	    -0.003756717	      0.05276679
1.4125000000000e+001	    -0.003879991	       0.0952765
1.4187500000000e+001	    -0.004045068	      0.07445071
1.4250000000000e+001	    -0.003987624	      0.06259142
1.4312500000000e+001	    -0.004205814	      0.09243456
1.4375000000000e+001	    -0.004188338	      0.07019086
1.4437500000000e+001	    -0.004365627	      0.06556508
1.4500000000000e+001	    -0.004389013	      0.08878647
1.4562500000000e+001	     -0.00433376	      0.08470078
1.4625000000000e+001	    -0.004503362	       0.0518555
1.4687500000000e+001	    -0.004512921	      0.04714391
1.4750000000000e+001	    -0.004483496	      0.07635742
1.4812500000000e+001	    -0.004632914	      0.06916477
1.4875000000000e+001	    -0.004788115	      0.05108971
1.4937500000000e+001	    -0.004728785	      0.07342833
1.5000000000000e+001	    -0.004643398	      0.05752299
1.5062500000000e+001	    -0.004581701	      0.08129381
1.5125000000000e+001	    -0.004515145	      0.05467404
1.5187500000000e+001	    -0.004472903	      0.02931768
1.5250000000000e+001	    -0.004572091	      0.05947698
1.5312500000000e+001	     -0.00449113	      0.04541312
1.5375000000000e+001	    -0.004590118	      0.03699477
1.5437500000000e+001	    -0.004451403	        0.036784
1.5500000000000e+001	    -0.004361722	      0.05855022
1.5562500000000e+001	    -0.004350043	      0.04523408
1.5625000000000e+001	    -0.004278499	      0.05413661
1.5687500000000e+001	    -0.004216766	      0.07143258
1.5750000000000e+001	    -0.004243573	      0.09238175
1.5812500000000e+001	    -0.004031044	      0.05976067
1.5875000000000e+001	    -0.003889663	       0.0589051
1.5937500000000e+001	    -0.003902452	       0.0354575
1.6000000000000e+001	      -0.0037424	      0.04123086
1.6062500000000e+001	    -0.003595234	      0.03048656
1.6125000000000e+001	     -0.00351616	      0.03232953
1.6187500000000e+001	    -0.003487348	      0.01733296
1.6250000000000e+001	    -0.003269339	       0.0186801
1.6312500000000e+001	    -0.003109656	      0.01118528
1.6375000000000e+001	    -0.002770934	      0.02300939
1.6437500000000e+001	    -0.002831233	      0.02613511
1.6500000000000e+001	    -0.002781261	      0.01339272
1.6562500000000e+001	    -0.002439871	      0.01671241
1.6625000000000e+001	    -0.002369426	     -0.01087912
1.6687500000000e+001	    -0.002306784	     -0.01148396
1.6750000000000e+001	    -0.002091107	     -0.01665583
1.6812500000000e+001	    -0.001809476	   -0.0009688935
1.6875000000000e+001	    -0.001699562	     -0.01804771
1.6937500000000e+001	    -0.001484097	     -0.03110782
1.7000000000000e+001	    -0.001373043	     -0.03026968
1.7062500000000e+001	    -0.001175428	     -0.01478668
1.7125000000000e+001	    -0.001061735	    -0.003391096
1.7187500000000e+001	   -0.0009059047	     -0.01808203
1.7250000000000e+001	   -0.0006945343	    -0.007580041
1.7312500000000e+001	   -0.0005341147	    -0.004902646
1.7375000000000e+001	   -0.0003800238	     -0.01970732
1.7437500000000e+001	   -0.0001185522	     -0.03322488
1.7500000000000e+001	   4.493981e-005	     -0.04257068
1.7562500000000e+001	    0.0003034598	     -0.01902012
1.7625000000000e+001	     0.000416463	     -0.04814418
1.7687500000000e+001	    0.0006040926	     -0.02945128
1.7750000000000e+001	    0.0006533314	     -0.01998014
1.7812500000000e+001	     0.000928066	     -0.03218676
1.7875000000000e+001	     0.001155905	      -0.0440714
1.7937500000000e+001	     0.001341771	     -0.04363173
1.8000000000000e+001	     0.001444345	     -0.04253693
1.8062500000000e+001	     0.001670101	     -0.04368195
1.8125000000000e+001	     0.001840914	     -0.04437229
1.8187500000000e+001	     0.002037945	     -0.05525164
1.8250000000000e+001	     0.002128441	     -0.06448638
1.8312500000000e+001	     0.002339944	     -0.06233151
1.8375000000000e+001	     0.002506209	     -0.05307095
1.8437500000000e+001	     0.002699035	     -0.05333873
1.8500000000000e+001	     0.002703283	     -0.05792141
1.8562500000000e+001	     0.002926036	     -0.03902134
1.8625000000000e+001	     0.003008475	     -0.05525596
1.8687500000000e+001	     0.003159127	     -0.06285498
1.8750000000000e+001	     0.003353255	      -0.0537691
1.8812500000000e+001	     0.003493028	     -0.05453157
1.8875000000000e+001	     0.003520017	     -0.02686002
1.8937500000000e+001	     0.003662927	     -0.04659826
1.9000000000000e+001	     0.003768878	     -0.05296913
1.9062500000000e+001	     0.003972298	      -0.0464881
1.9125000000000e+001	     0.003987256	      -0.0548824
1.9187500000000e+001	     0.004034745	      -0.0661418
1.9250000000000e+001	     0.004126533	     -0.07732211
1.9312500000000e+001	     0.004233659	     -0.07995415
1.9375000000000e+001	     0.004314674	     -0.04709868
1.9437500000000e+001	     0.004415666	     -0.06614891
1.9500000000000e+001	       0.0044367	     -0.07005301
1.9562500000000e+001	     0.004546469	     -0.05483624
1.9625000000000e+001	     0.004513853	     -0.04248577
1.9687500000000e+001	     0.004563371	     -0.09405329
1.9750000000000e+001	     0.004506695	     -0.07217318
1.9812500000000e+001	     0.004674796	     -0.06626537
1.9875000000000e+001	     0.004664524	     -0.09495306
1.9937500000000e+001	     0.004642953	     -0.06332929
2.0000000000000e+001	     0.004579344	     -0.07352023
2.0062500000000e+001	     0.004655945	     -0.06497656
2.0125000000000e+001	     0.004677366	     -0.06181423
2.0187500000000e+001	     0.004645721	     -0.05462062
2.0250000000000e+001	     0.004595039	     -0.04810461
2.0312500000000e+001	     0.004532501	     -0.04893217
2.0375000000000e+001	     0.004446771	     -0.02595713
2.0437500000000e+001	      0.00445586	     -0.04851643
2.0500000000000e+001	     0.004352114	     -0.03726514
2.0562500000000e+001	     0.004276198	      0.00341115
2.0625000000000e+001	     0.004211219	     -0.02671797
2.0687500000000e+001	     0.004147998	     -0.02370934
2.0750000000000e+001	     0.004090563	     -0.03526653
2.0812500000000e+001	     0.003986645	     -0.02444894
2.0875000000000e+001	     0.003870558	     -0.01654883
2.0937500000000e+001	     0.003849248	     -0.03509285
2.1000000000000e+001	     0.003691431	     -0.02393797
2.1062500000000e+001	     0.003554661	     -0.02833243
2.1125000000000e+001	     0.003438819	     -0.00977012
2.1187500000000e+001	     0.003359037	      -0.0220285
2.1250000000000e+001	     0.003169659	    -0.005318308
