Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-9.9609375000000e-002	       0.2167637	       0.7308579
-9.8632812500000e-002	       0.2190235	        1.280156
-9.7656250000000e-002	       0.2158104	        1.602752
-9.6679687500000e-002	       0.2180199	        1.990136
-9.5703125000000e-002	       0.2203978	        1.481229
-9.4726562500000e-002	       0.2199619	        1.285868
-9.3750000000000e-002	       0.2206643	      -0.4001308
-9.2773437500000e-002	       0.2189834	       -1.290763
-9.1796875000000e-002	       0.2170822	       -1.056851
-9.0820312500000e-002	        0.213183	       -1.045523
-8.9843750000000e-002	       0.2093636	       -1.131665
-8.8867187500000e-002	       0.2153876	       -3.298333
-8.7890625000000e-002	        0.214084	       -5.152319
-8.6914062500000e-002	       0.2139058	       -5.060661
-8.5937500000000e-002	       0.2177304	       -5.495001
-8.4960937500000e-002	       0.2176307	       -5.620395
-8.3984375000000e-002	       0.2174797	        -4.21608
-8.3007812500000e-002	       0.2160894	       -2.903353
-8.2031250000000e-002	       0.2176228	       -2.119519
-8.1054687500000e-002	       0.2165458	      -0.3872854
-8.0078125000000e-002	       0.2172383	       0.7570857
-7.9101562500000e-002	       0.2158621	        1.162767
-7.8125000000000e-002	       0.2192608	        2.366482
-7.7148437500000e-002	        0.213046	        1.060941
-7.6171875000000e-002	       0.2135425	       0.7996069
-7.5195312500000e-002	       0.2122525	        1.310662
-7.4218750000000e-002	        0.210417	      -0.2457737
-7.3242187500000e-002	       0.2101143	      -0.6874356
-7.2265625000000e-002	       0.2058972	      -0.6056429
-7.1289062500000e-002	        0.205561	        -1.99704
-7.0312500000000e-002	       0.2069664	       0.0924665
-6.9335937500000e-002	       0.2107834	       -2.798378
-6.8359375000000e-002	       0.2104339	       -4.072694
-6.7382812500000e-002	       0.2107326	       -3.809947
-6.6406250000000e-002	       0.2104648	       -5.622043
-6.5429687500000e-002	       0.2089808	       -6.589493
-6.4453125000000e-002	       0.2134972	        -5.42631
-6.3476562500000e-002	       0.2101642	       -4.684958
-6.2500000000000e-002	       0.2065298	       -4.257229
-6.1523437500000e-002	       0.2045502	       -4.642728
-6.0546875000000e-002	       0.2068665	       -3.945464
-5.9570312500000e-002	       0.2066964	       -1.550888
-5.8593750000000e-002	       0.2056813	       -1.710054
-5.7617187500000e-002	       0.2028946	       -2.243551
-5.6640625000000e-002	       0.1985366	       0.2440067
-5.5664062500000e-002	        0.201643	        1.206358
-5.4687500000000e-002	       0.1980423	    -0.002892578
-5.3710937500000e-002	        0.198143	      0.06612923
-5.2734375000000e-002	       0.1990521	      -0.8718684
-5.1757812500000e-002	       0.1995552	      0.03367902
-5.0781250000000e-002	       0.1991142	       -1.087119
-4.9804687500000e-002	        0.199879	       -1.059069
-4.8828125000000e-002	       0.2002073	       -2.367575
-4.7851562500000e-002	       0.1999333	       -3.103445
-4.6875000000000e-002	       0.1985177	       -4.044043
-4.5898437500000e-002	       0.1953715	       -4.366106
-4.4921875000000e-002	       0.1935677	       -4.116469
-4.3945312500000e-002	       0.1966373	       -3.308927
-4.2968750000000e-002	       0.1966961	       -2.188676
-4.1992187500000e-002	       0.1939231	      -0.9041859
-4.1015625000000e-002	       0.1924062	       0.1715685
-4.0039062500000e-002	       0.1930178	       0.2110257
-3.9062500000000e-002	       0.1921328	       0.9228193
-3.8085937500000e-002	       0.1905922	         1.52801
-3.7109375000000e-002	       0.1902886	        1.030338
-3.6132812500000e-002	        0.189677	       0.8802568
-3.5156250000000e-002	       0.1878174	       0.5158374
-3.4179687500000e-002	       0.1849804	      -0.7768067
-3.3203125000000e-002	       0.1874901	      -0.1378121
-3.2226562500000e-002	        0.183911	       0.8832394
-3.1250000000000e-002	       0.1843087	       -1.827371
-3.0273437500000e-002	       0.1841311	       -1.496908
-2.9296875000000e-002	       0.1789892	       -2.236094
-2.8320312500000e-002	        0.176023	       -3.669914
-2.7343750000000e-002	       0.1759559	       -4.555335
-2.6367187500000e-002	       0.1722334	        -4.80617
-2.5390625000000e-002	       0.1716852	       -3.468088
-2.4414062500000e-002	       0.1698909	       -2.869198
-2.3437500000000e-002	       0.1681444	       -1.148416
-2.2460937500000e-002	       0.1641727	       0.4298919
-2.1484375000000e-002	       0.1641415	          1.4246
-2.0507812500000e-002	       0.1669278	         1.54141
-1.9531250000000e-002	       0.1649902	        2.620088
-1.8554687500000e-002	       0.1645839	        3.267648
