Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	       0.2116854	        5.388527
6.2500000000000e-002	     0.003493838	        3.749979
1.2500000000000e-001	    -0.001761353	        3.406828
1.8750000000000e-001	    -0.003368985	        2.814541
2.5000000000000e-001	    -0.001827966	        3.185812
3.1250000000000e-001	    0.0002850867	        2.283647
3.7500000000000e-001	     0.001795545	        2.376614
4.3750000000000e-001	     0.002093844	        3.031946
5.0000000000000e-001	     0.002196816	        2.298588
5.6250000000000e-001	     0.003822067	        2.474058
6.2500000000000e-001	     0.003497454	        2.444175
6.8750000000000e-001	     0.003162666	        2.199937
7.5000000000000e-001	     0.003535256	        2.304128
8.1250000000000e-001	     0.004642164	        1.614221
8.7500000000000e-001	     0.003528698	        1.239613
9.3750000000000e-001	       0.0037633	        1.321246
1.0000000000000e+000	     0.005397502	       0.6368829
1.0625000000000e+000	     0.007412343	        0.298686
1.1250000000000e+000	     0.007348105	     -0.07821786
1.1875000000000e+000	     0.006248208	      -0.4906303
1.2500000000000e+000	     0.005554833	      -0.6394711
1.3125000000000e+000	     0.005502352	       -0.784794
1.3750000000000e+000	     0.005942915	       -1.154381
1.4375000000000e+000	     0.005007865	       -1.260583
1.5000000000000e+000	     0.003872892	       -1.393031
1.5625000000000e+000	     0.004143729	       -1.674868
1.6250000000000e+000	     0.005832919	       -1.812605
1.6875000000000e+000	     0.006431618	       -1.829448
1.7500000000000e+000	     0.005021824	        -1.77793
1.8125000000000e+000	     0.004116518	       -1.811502
1.8750000000000e+000	     0.004040976	        -1.76291
1.9375000000000e+000	     0.004202794	       -1.796527
2.0000000000000e+000	     0.004076173	       -1.789102
2.0625000000000e+000	     0.006126792	       -1.818304
2.1250000000000e+000	      0.00647073	       -1.784699
2.1875000000000e+000	     0.004925478	       -1.732921
2.2500000000000e+000	     0.003208741	       -1.814427
2.3125000000000e+000	     0.002086352	       -1.625754
2.3750000000000e+000	     0.002407508	       -1.576615
2.4375000000000e+000	     0.002870621	       -1.682196
2.5000000000000e+000	      0.00393447	       -1.639311
2.5625000000000e+000	     0.003847837	        -1.51575
2.6250000000000e+000	     0.002549028	       -1.516389
2.6875000000000e+000	     0.002676452	       -1.464686
2.7500000000000e+000	     0.003316522	       -1.376398
2.8125000000000e+000	       0.0031741	       -1.342954
2.8750000000000e+000	     0.001537808	        -1.34563
2.9375000000000e+000	     0.001655293	        -1.24541
3.0000000000000e+000	      0.00162829	       -1.100449
3.0625000000000e+000	     0.002138893	       -1.113462
3.1250000000000e+000	      0.00141023	       -1.051346
3.1875000000000e+000	    0.0003443188	       -1.001353
3.2500000000000e+000	   -0.0007934263	      -0.9514321
3.3125000000000e+000	   -0.0007276079	      -0.8923876
3.3750000000000e+000	   -0.0005363573	      -0.7983317
3.4375000000000e+000	   -0.0007851112	      -0.7270184
3.5000000000000e+000	   -0.0003108138	       -0.682277
3.5625000000000e+000	   -0.0001929002	       -0.631494
3.6250000000000e+000	    -0.001285538	      -0.5416628
3.6875000000000e+000	    -0.002021899	      -0.5076604
3.7500000000000e+000	    -0.002368039	      -0.4306519
3.8125000000000e+000	    -0.003851807	      -0.3478696
3.8750000000000e+000	    -0.003755212	      -0.2542222
3.9375000000000e+000	    -0.003387996	      -0.2001384
4.0000000000000e+000	    -0.003004194	      -0.2096401
4.0625000000000e+000	    -0.003597679	     -0.07858554
4.1250000000000e+000	    -0.005226855	     -0.01386118
4.1875000000000e+000	    -0.004678789	     0.004933149
4.2500000000000e+000	    -0.004741034	      0.05358586
4.3125000000000e+000	    -0.005077345	      0.09993982
4.3750000000000e+000	     -0.00534514	       0.1614138
4.4375000000000e+000	    -0.005476601	       0.2138931
4.5000000000000e+000	    -0.006162516	       0.2192392
4.5625000000000e+000	    -0.006237576	       0.2780991
4.6250000000000e+000	    -0.006423526	        0.320648
4.6875000000000e+000	    -0.006782066	       0.3224798
