Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-1.0000000000000e-001	       0.1044958	        3.137206
-9.9609375000000e-002	       0.1058309	        2.957146
-9.9218750000000e-002	       0.1071651	        2.817387
-9.8828125000000e-002	        0.105416	        2.776147
-9.8437500000000e-002	       0.1070343	         2.72749
-9.8046875000000e-002	       0.1066243	        2.683443
-9.7656250000000e-002	        0.107172	        2.705474
-9.7265625000000e-002	       0.1070648	        2.547185
-9.6875000000000e-002	       0.1077219	        2.443114
-9.6484375000000e-002	       0.1073544	        2.466154
-9.6093750000000e-002	       0.1084151	        2.237695
-9.5703125000000e-002	       0.1097599	        2.290828
-9.5312500000000e-002	       0.1108443	        2.150652
-9.4921875000000e-002	       0.1101288	        1.897684
-9.4531250000000e-002	       0.1103641	         1.67603
-9.4140625000000e-002	       0.1093215	        1.412195
-9.3750000000000e-002	       0.1089812	        1.230305
-9.3359375000000e-002	       0.1103775	        1.271036
-9.2968750000000e-002	       0.1121167	        1.188067
-9.2578125000000e-002	       0.1108642	        1.127939
-9.2187500000000e-002	       0.1091512	        1.074066
-9.1796875000000e-002	       0.1062117	        1.213931
-9.1406250000000e-002	       0.1092192	       0.9011428
-9.1015625000000e-002	       0.1109439	      -0.1095206
-9.0625000000000e-002	       0.1111516	      -0.5575825
-9.0234375000000e-002	       0.1091786	       -1.190023
-8.9843750000000e-002	        0.105421	       -1.724119
-8.9453125000000e-002	       0.1078226	       -1.772503
-8.9062500000000e-002	       0.1069787	       -2.085865
-8.8671875000000e-002	       0.1074158	        -2.32484
-8.8281250000000e-002	       0.1079779	        -2.42924
-8.7890625000000e-002	        0.104994	       -2.709122
-8.7500000000000e-002	       0.1072955	       -2.793222
-8.7109375000000e-002	       0.1033725	       -2.832084
-8.6718750000000e-002	       0.1042714	       -2.772688
-8.6328125000000e-002	       0.1054478	       -2.647267
-8.5937500000000e-002	       0.1051431	        -2.52414
-8.5546875000000e-002	       0.1036085	       -2.210938
-8.5156250000000e-002	       0.1049654	       -1.717251
-8.4765625000000e-002	       0.1071828	       -1.176216
-8.4375000000000e-002	        0.109189	      -0.6505393
-8.3984375000000e-002	       0.1093873	      -0.1755478
-8.3593750000000e-002	       0.1097251	       0.1990695
-8.3203125000000e-002	       0.1101802	       0.5914492
-8.2812500000000e-002	       0.1097603	       0.8933273
-8.2421875000000e-002	       0.1111954	        1.181763
-8.2031250000000e-002	        0.108186	        1.580574
-8.1640625000000e-002	       0.1094729	        1.673126
-8.1250000000000e-002	       0.1092698	        1.925213
-8.0859375000000e-002	       0.1101551	        2.031004
-8.0468750000000e-002	       0.1084605	        2.304352
-8.0078125000000e-002	       0.1080988	        2.561979
-7.9687500000000e-002	       0.1041871	        2.524969
-7.9296875000000e-002	       0.1049563	        2.341645
-7.8906250000000e-002	       0.1085201	        1.923316
-7.8515625000000e-002	        0.109971	        1.823751
-7.8125000000000e-002	         0.10633	        1.755751
-7.7734375000000e-002	        0.105313	        1.633136
-7.7343750000000e-002	       0.1041537	        1.731224
-7.6953125000000e-002	       0.1069209	        1.797936
-7.6562500000000e-002	       0.1054139	        1.630117
-7.6171875000000e-002	       0.1038811	        1.506458
-7.5781250000000e-002	       0.1093116	        1.776036
-7.5390625000000e-002	         0.10741	        1.829908
-7.5000000000000e-002	       0.1062011	        1.863174
-7.4609375000000e-002	       0.1069585	        1.757997
-7.4218750000000e-002	       0.1076564	         1.61336
-7.3828125000000e-002	       0.1093195	        1.593779
-7.3437500000000e-002	       0.1060599	        1.552503
-7.3046875000000e-002	       0.1063335	        1.508618
-7.2656250000000e-002	        0.105937	        1.504774
-7.2265625000000e-002	       0.1057976	        1.320803
-7.1875000000000e-002	       0.1052741	        1.329545
-7.1484375000000e-002	       0.1046114	        1.268938
-7.1093750000000e-002	       0.1048688	       0.4787931
-7.0703125000000e-002	       0.1064894	     -0.02249185
-7.0312500000000e-002	       0.0986668	      -0.6249498
-6.9921875000000e-002	       0.1024812	       -1.426041
-6.9531250000000e-002	       0.1016044	       -1.572704
-6.9140625000000e-002	       0.1005668	       -1.719179
-6.8750000000000e-002	       0.1039288	       -2.132238
-6.8359375000000e-002	       0.1051315	       -2.243483
-6.7968750000000e-002	       0.1003061	       -2.480263
-6.7578125000000e-002	      0.09797638	       -2.832721
-6.7187500000000e-002	      0.09884782	       -2.928749
