Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 S1, 1	 S2, 2
Frequency	 Mag	Mag
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	      0.06690706	        2.856001
1.5625000000000e-001	      0.01081468	        6.335188
3.1250000000000e-001	     0.003563336	         6.77565
4.6875000000000e-001	     0.002484786	        6.682159
6.2500000000000e-001	     0.009244946	         6.13506
7.8125000000000e-001	     0.007986352	        5.712699
9.3750000000000e-001	      0.01074486	        5.182392
1.0937500000000e+000	      0.01198365	         4.75084
1.2500000000000e+000	      0.01077872	        4.372636
1.4062500000000e+000	      0.01212196	        3.887669
1.5625000000000e+000	      0.01298439	        3.506638
1.7187500000000e+000	      0.01258474	        3.257613
1.8750000000000e+000	      0.01390061	        2.996288
2.0312500000000e+000	      0.01375514	        2.774581
2.1875000000000e+000	      0.01269893	        2.458564
2.3437500000000e+000	      0.01307336	        2.366554
2.5000000000000e+000	      0.01446207	        2.186325
2.6562500000000e+000	       0.0127637	        1.966595
2.8125000000000e+000	       0.0140786	        1.828463
2.9687500000000e+000	      0.01475714	        1.675226
3.1250000000000e+000	      0.01503684	        1.681017
3.2812500000000e+000	      0.01540735	        1.563524
3.4375000000000e+000	      0.01602061	         1.49142
3.5937500000000e+000	      0.01501836	        1.426246
3.7500000000000e+000	      0.01759536	        1.373439
3.9062500000000e+000	      0.01622823	         1.28488
4.0625000000000e+000	      0.01839893	        1.241273
4.2187500000000e+000	      0.01687569	        1.196516
4.3750000000000e+000	      0.01746972	        1.184609
4.5312500000000e+000	      0.01690427	        1.134538
4.6875000000000e+000	      0.01651616	        1.080178
4.8437500000000e+000	      0.01604215	        1.042313
5.0000000000000e+000	      0.01592161	       0.9986058
5.1562500000000e+000	      0.01598939	       0.9322363
5.3125000000000e+000	      0.01594956	       0.9123581
5.4687500000000e+000	      0.01544407	        0.850804
5.6250000000000e+000	      0.01492609	       0.8507265
5.7812500000000e+000	      0.01573684	       0.8166969
5.9375000000000e+000	       0.0147011	       0.8187432
6.0937500000000e+000	      0.01495101	       0.7897439
6.2500000000000e+000	      0.01469745	       0.7751877
6.4062500000000e+000	      0.01499962	       0.7515228
6.5625000000000e+000	      0.01513488	       0.7337118
6.7187500000000e+000	      0.01442655	       0.7544307
6.8750000000000e+000	      0.01470191	       0.6744787
7.0312500000000e+000	      0.01441406	       0.7173274
7.1875000000000e+000	      0.01455246	       0.6960948
7.3437500000000e+000	      0.01438051	       0.6394581
7.5000000000000e+000	      0.01484405	        0.655975
7.6562500000000e+000	       0.0144709	       0.6272361
7.8125000000000e+000	      0.01477312	       0.6110755
7.9687500000000e+000	      0.01433517	       0.6087531
8.1250000000000e+000	      0.01465937	       0.5952881
8.2812500000000e+000	      0.01421238	       0.5737615
8.4375000000000e+000	      0.01455978	       0.5611126
8.5937500000000e+000	      0.01459502	       0.5564914
8.7500000000000e+000	       0.0143817	       0.5675408
8.9062500000000e+000	      0.01473096	       0.5588455
9.0625000000000e+000	      0.01433005	       0.5286221
9.2187500000000e+000	      0.01452141	       0.5089796
9.3750000000000e+000	      0.01458057	       0.5282523
9.5312500000000e+000	      0.01492169	       0.4989399
9.6875000000000e+000	      0.01452617	       0.4954063
9.8437500000000e+000	      0.01507253	       0.4834574
1.0000000000000e+001	      0.01435066	       0.4860616
1.0156250000000e+001	      0.01478348	       0.4627289
1.0312500000000e+001	      0.01460592	       0.4587445
1.0468750000000e+001	      0.01477199	       0.4420077
1.0625000000000e+001	      0.01484464	       0.4542148
1.0781250000000e+001	      0.01493022	       0.4598409
1.0937500000000e+001	      0.01492218	       0.4481666
1.1093750000000e+001	      0.01471816	       0.4231441
1.1250000000000e+001	      0.01491233	       0.4343759
1.1406250000000e+001	      0.01519756	       0.4221109
1.1562500000000e+001	      0.01487528	       0.4174742
1.1718750000000e+001	      0.01501402	       0.4189203
1.1875000000000e+001	      0.01496948	       0.4135967
1.2031250000000e+001	      0.01506929	       0.3856048
1.2187500000000e+001	       0.0149271	       0.4037966
1.2343750000000e+001	      0.01494924	       0.4030927
1.2500000000000e+001	      0.01492023	       0.3902097
1.2656250000000e+001	      0.01514992	       0.3621309
1.2812500000000e+001	      0.01487473	       0.3702851
1.2968750000000e+001	       0.0151808	        0.359325
1.3125000000000e+001	       0.0150094	       0.3288658
1.3281250000000e+001	      0.01508938	       0.3559952
1.3437500000000e+001	      0.01495793	       0.3198934
