Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	       0.1338141	        5.712001
1.5625000000000e-001	    -0.005856388	        6.285141
3.1250000000000e-001	    0.0005364156	        6.146328
4.6875000000000e-001	     0.002128141	        4.910469
6.2500000000000e-001	     0.007918829	        3.170966
7.8125000000000e-001	     0.006051819	        1.755486
9.3750000000000e-001	      0.01054577	       0.3423188
1.0937500000000e+000	      0.01176345	       -0.619626
1.2500000000000e+000	      0.01062218	       -1.551319
1.4062500000000e+000	      0.01174555	       -1.960493
1.5625000000000e+000	      0.01230389	       -2.241832
1.7187500000000e+000	      0.01064048	       -2.469345
1.8750000000000e+000	      0.01204786	       -2.541595
2.0312500000000e+000	      0.01005882	       -2.564404
2.1875000000000e+000	     0.009125449	       -2.365554
2.3437500000000e+000	     0.008402437	       -2.350473
2.5000000000000e+000	     0.007567151	       -2.186152
2.6562500000000e+000	     0.005330287	       -1.940594
2.8125000000000e+000	     0.004523283	       -1.765936
2.9687500000000e+000	     0.004038144	       -1.558177
3.1250000000000e+000	     0.001372386	       -1.512363
3.2812500000000e+000	    0.0007740087	       -1.279935
3.4375000000000e+000	    -0.001739732	       -1.147282
3.5937500000000e+000	    -0.002422175	      -0.9468295
3.7500000000000e+000	    -0.005823537	       -0.835712
3.9062500000000e+000	    -0.006147393	         -0.6185
4.0625000000000e+000	     -0.01118233	      -0.4848885
4.2187500000000e+000	     -0.01099703	      -0.3709029
4.3750000000000e+000	     -0.01302833	      -0.2317519
4.5312500000000e+000	     -0.01421181	       -0.083987
4.6875000000000e+000	     -0.01482294	      0.05089319
4.8437500000000e+000	     -0.01525339	       0.1558864
5.0000000000000e+000	     -0.01549067	       0.2770578
5.1562500000000e+000	     -0.01585538	       0.3682687
5.3125000000000e+000	      -0.0159483	       0.4162992
5.4687500000000e+000	     -0.01532643	         0.48055
5.6250000000000e+000	     -0.01457166	       0.5231709
5.7812500000000e+000	     -0.01506167	       0.5692514
5.9375000000000e+000	     -0.01325718	       0.6319308
6.0937500000000e+000	     -0.01280408	       0.6512412
6.2500000000000e+000	     -0.01179233	       0.6960704
6.4062500000000e+000	     -0.01147406	        0.687379
6.5625000000000e+000	    -0.009781451	       0.7079757
6.7187500000000e+000	    -0.008493831	       0.7470546
6.8750000000000e+000	    -0.006846811	       0.6743274
7.0312500000000e+000	    -0.005881828	       0.7167408
7.1875000000000e+000	     -0.00431085	       0.6831538
7.3437500000000e+000	    -0.003097806	       0.6154549
7.5000000000000e+000	    -0.001614214	       0.6071728
7.6562500000000e+000	    0.0002507153	        0.545102
7.8125000000000e+000	     0.001810322	       0.5230641
7.9687500000000e+000	     0.003001301	       0.4630465
8.1250000000000e+000	     0.004644405	       0.4056659
8.2812500000000e+000	     0.005977501	        0.357345
8.4375000000000e+000	     0.007209678	       0.3085409
8.5937500000000e+000	     0.008403094	       0.2552663
8.7500000000000e+000	     0.009571616	        0.202592
8.9062500000000e+000	      0.01102818	        0.114235
9.0625000000000e+000	      0.01153121	      0.05016088
9.2187500000000e+000	       0.0123745	     0.002438679
9.3750000000000e+000	      0.01330521	     -0.07562424
9.5312500000000e+000	      0.01402836	      -0.1157485
9.6875000000000e+000	      0.01412532	      -0.1410416
9.8437500000000e+000	      0.01495069	      -0.2096932
1.0000000000000e+001	      0.01434042	      -0.2480097
1.0156250000000e+001	      0.01475578	      -0.2748521
1.0312500000000e+001	       0.0144456	       -0.301406
1.0468750000000e+001	      0.01433119	      -0.3362406
1.0625000000000e+001	      0.01390687	      -0.3661291
1.0781250000000e+001	      0.01333855	      -0.3922818
1.0937500000000e+001	      0.01259435	      -0.4147272
1.1093750000000e+001	      0.01176313	      -0.4050237
1.1250000000000e+001	      0.01092765	      -0.4264293
1.1406250000000e+001	      0.01002774	      -0.4213154
1.1562500000000e+001	     0.008709549	      -0.4174739
1.1718750000000e+001	     0.007413445	      -0.4172104
