Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-9.9609375000000e-002	      -0.0557587	      -0.3044568
-9.8632812500000e-002	     -0.05583262	       -2.645916
-9.7656250000000e-002	     -0.05797063	       -2.746565
-9.6679687500000e-002	     -0.05819088	       -3.254322
-9.5703125000000e-002	     -0.05829916	       -2.665918
-9.4726562500000e-002	     -0.05696732	       -1.296357
-9.3750000000000e-002	     -0.05905836	        1.350977
-9.2773437500000e-002	     -0.05945817	        4.079309
-9.1796875000000e-002	     -0.05976749	        5.455869
-9.0820312500000e-002	      -0.0628549	         6.26101
-8.9843750000000e-002	     -0.06256132	        6.679429
-8.8867187500000e-002	     -0.06521709	        6.725822
-8.7890625000000e-002	     -0.06416772	        5.852038
-8.6914062500000e-002	     -0.06041654	         5.38679
-8.5937500000000e-002	     -0.06247801	        4.615634
-8.4960937500000e-002	     -0.06440705	        3.896975
-8.3984375000000e-002	     -0.06663291	        3.306059
-8.3007812500000e-002	     -0.06551215	        2.993372
-8.2031250000000e-002	     -0.06777533	        2.382176
-8.1054687500000e-002	     -0.06765894	        2.265591
-8.0078125000000e-002	     -0.06749128	        1.250391
-7.9101562500000e-002	     -0.06820071	        -1.80564
-7.8125000000000e-002	     -0.06462346	       -2.818965
-7.7148437500000e-002	     -0.06472477	         -3.3667
-7.6171875000000e-002	     -0.06595217	       -3.834903
-7.5195312500000e-002	     -0.06395552	        -3.34222
-7.4218750000000e-002	     -0.06722851	       -1.380689
-7.3242187500000e-002	      -0.0687158	        1.564861
-7.2265625000000e-002	     -0.06715161	        3.833785
-7.1289062500000e-002	     -0.07031518	        6.173382
-7.0312500000000e-002	     -0.06753916	        6.621876
-6.9335937500000e-002	     -0.06850566	        7.222403
-6.8359375000000e-002	     -0.06954912	        6.991882
-6.7382812500000e-002	     -0.06947604	        5.450622
-6.6406250000000e-002	     -0.07109277	        4.435611
-6.5429687500000e-002	     -0.07131962	        3.859455
-6.4453125000000e-002	     -0.07678279	        3.210817
-6.3476562500000e-002	     -0.07796515	        2.650311
-6.2500000000000e-002	     -0.08050513	        2.417759
-6.1523437500000e-002	     -0.07757827	        2.027545
-6.0546875000000e-002	     -0.07731284	        1.659476
-5.9570312500000e-002	     -0.07862133	      -0.9376728
-5.8593750000000e-002	     -0.07798219	       -3.653071
-5.7617187500000e-002	     -0.07798415	       -3.800913
-5.6640625000000e-002	      -0.0800439	       -4.657619
-5.5664062500000e-002	     -0.08073586	       -4.084729
-5.4687500000000e-002	     -0.07964441	       -2.763628
-5.3710937500000e-002	     -0.08309167	      -0.2018165
-5.2734375000000e-002	     -0.08411304	        2.608326
-5.1757812500000e-002	     -0.08120912	        3.918303
-5.0781250000000e-002	     -0.08199994	        5.041861
-4.9804687500000e-002	     -0.08334079	        5.988065
-4.8828125000000e-002	     -0.08575668	        6.483201
-4.7851562500000e-002	     -0.08510165	        5.377696
-4.6875000000000e-002	     -0.08677235	        4.694982
-4.5898437500000e-002	     -0.09101053	        3.666811
-4.4921875000000e-002	     -0.08436601	         3.08006
-4.3945312500000e-002	     -0.08315523	        2.835818
-4.2968750000000e-002	     -0.08425475	        2.448515
-4.1992187500000e-002	     -0.08634741	        2.276915
-4.1015625000000e-002	     -0.08836012	        2.365742
-4.0039062500000e-002	     -0.09007581	         1.41347
-3.9062500000000e-002	     -0.09466243	       -2.363318
-3.8085937500000e-002	     -0.09167577	       -3.392547
-3.7109375000000e-002	     -0.08649826	       -3.185674
-3.6132812500000e-002	     -0.08782043	         -4.0821
-3.5156250000000e-002	     -0.09317051	       -3.104431
-3.4179687500000e-002	     -0.09239173	       -1.226073
-3.3203125000000e-002	     -0.09108251	        1.903263
-3.2226562500000e-002	     -0.09803924	        3.681759
-3.1250000000000e-002	     -0.09993019	        5.377196
-3.0273437500000e-002	     -0.09685188	        5.607006
-2.9296875000000e-002	       -0.101174	        6.448194
-2.8320312500000e-002	      -0.0995002	        6.486131
-2.7343750000000e-002	      -0.1010889	        4.932982
-2.6367187500000e-002	      -0.1039462	        4.479144
-2.5390625000000e-002	      -0.1045813	        3.943826
-2.4414062500000e-002	      -0.1056934	        3.208526
-2.3437500000000e-002	      -0.1078212	        2.207637
-2.2460937500000e-002	      -0.1098679	        2.429374
-2.1484375000000e-002	      -0.1110289	        2.119439
-2.0507812500000e-002	      -0.1099895	        1.609947
