Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	      0.08961745	       0.5830399
6.2500000000000e-002	      -0.0277652	        1.229406
1.2500000000000e-001	      -0.0123227	        -1.22069
1.8750000000000e-001	    -0.008096303	         1.23948
2.5000000000000e-001	    -0.003190667	      -0.9920876
3.1250000000000e-001	     -0.00339799	        1.255612
3.7500000000000e-001	    -0.001687656	       -1.138729
4.3750000000000e-001	   -0.0008334112	        0.953581
5.0000000000000e-001	    0.0006259899	      -0.9253148
5.6250000000000e-001	    0.0004287362	       0.9775823
6.2500000000000e-001	   -0.0006620686	      -0.9657521
6.8750000000000e-001	   -0.0003911329	       0.9001181
7.5000000000000e-001	    -0.000458604	      -0.8970153
8.1250000000000e-001	    -0.001159629	       0.9107368
8.7500000000000e-001	   -0.0006311617	       -0.652637
9.3750000000000e-001	    6.38254e-005	       0.7361417
1.0000000000000e+000	     0.001954391	       -0.814221
1.0625000000000e+000	     0.001843704	       0.7415395
1.1250000000000e+000	    0.0008926208	      -0.7834617
1.1875000000000e+000	   -5.35592e-005	       0.7144115
1.2500000000000e+000	   -0.0002173327	      -0.6687583
1.3125000000000e+000	     0.001027725	       0.5213396
1.3750000000000e+000	    0.0009051261	      -0.6113481
1.4375000000000e+000	    0.0009485811	          0.4524
1.5000000000000e+000	    0.0004891029	      -0.7540337
1.5625000000000e+000	    0.0007580179	       0.4289977
1.6250000000000e+000	     0.002401255	       -0.618531
1.6875000000000e+000	     0.002376965	       0.5127883
1.7500000000000e+000	     0.001405629	      -0.6598136
1.8125000000000e+000	    0.0001126293	       0.3703923
1.8750000000000e+000	     0.000106127	      -0.4707036
1.9375000000000e+000	     0.003029326	       0.5140578
2.0000000000000e+000	     0.001469804	      -0.4977211
2.0625000000000e+000	     0.002053788	       0.3181276
2.1250000000000e+000	    0.0004810981	      -0.4812872
2.1875000000000e+000	    0.0002770562	       0.2793809
2.2500000000000e+000	    0.0004039339	      -0.4353567
2.3125000000000e+000	     0.001623746	       0.3020995
2.3750000000000e+000	     0.001321719	      -0.4594112
2.4375000000000e+000	    0.0002359824	       0.3167137
2.5000000000000e+000	     0.001498249	      -0.3789914
2.5625000000000e+000	     0.001702053	       0.4346423
2.6250000000000e+000	     0.002282703	      -0.3931589
2.6875000000000e+000	     0.001908657	       0.3283887
2.7500000000000e+000	     0.002229577	      -0.3791102
2.8125000000000e+000	    0.0008505724	       0.2649641
2.8750000000000e+000	     0.001722657	      -0.2658738
2.9375000000000e+000	     0.001371776	       0.3190789
3.0000000000000e+000	     0.001378344	      -0.2958167
3.0625000000000e+000	    0.0006819809	       0.1987605
3.1250000000000e+000	     0.000279302	      -0.2268423
3.1875000000000e+000	     0.001218873	       0.2795335
3.2500000000000e+000	    0.0003839542	      -0.2690982
3.3125000000000e+000	    0.0007701344	       0.2685076
3.3750000000000e+000	    0.0005701528	      -0.2298076
3.4375000000000e+000	     0.001224175	       0.3046007
3.5000000000000e+000	    0.0007076679	      -0.1980668
3.5625000000000e+000	     0.000661736	       0.2757181
3.6250000000000e+000	    0.0007313135	       -0.182064
3.6875000000000e+000	    0.0001982462	       0.2006249
3.7500000000000e+000	    0.0006704753	       -0.190839
3.8125000000000e+000	   -0.0001795654	       0.2597059
3.8750000000000e+000	   -0.0001182769	      -0.2159863
3.9375000000000e+000	   -0.0001661864	       0.2354814
4.0000000000000e+000	   -0.0001366886	      -0.1864914
4.0625000000000e+000	   -0.0007153798	       0.1763943
4.1250000000000e+000	   -0.0009373695	      -0.0983384
4.1875000000000e+000	   -0.0002348773	       0.2107181
4.2500000000000e+000	   -0.0003848663	      -0.1040796
4.3125000000000e+000	   -0.0006740959	       0.1983381
4.3750000000000e+000	    -0.001120823	      -0.1442416
4.4375000000000e+000	    -0.001474076	       0.2035367
4.5000000000000e+000	    -0.001452539	       -0.095392
4.5625000000000e+000	    -0.001367177	        0.208077
