Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	        0.180246	         2.61955
1.5625000000000e-001	    -0.001050851	       0.8070577
3.1250000000000e-001	   5.595619e-005	       0.6338968
4.6875000000000e-001	    0.0003871932	       0.1632431
6.2500000000000e-001	    0.0003746422	       0.1904601
7.8125000000000e-001	     0.001333661	     -0.07368961
9.3750000000000e-001	     0.003775396	      -0.2015657
1.0937500000000e+000	      0.00192058	      -0.1025798
1.2500000000000e+000	     0.005247751	      -0.1082265
1.4062500000000e+000	     0.003211498	      -0.3492376
1.5625000000000e+000	     0.003743419	      -0.3339075
1.7187500000000e+000	     0.003100831	      -0.3364169
1.8750000000000e+000	     0.003666006	      -0.2436681
2.0312500000000e+000	     0.003445923	      -0.3132811
2.1875000000000e+000	     0.003534462	      -0.2173245
2.3437500000000e+000	     0.002588782	      -0.2830162
2.5000000000000e+000	     0.001198587	      -0.1439241
2.6562500000000e+000	     0.002630219	      -0.1454092
2.8125000000000e+000	     0.001995967	      -0.1357719
2.9687500000000e+000	      0.00374328	     -0.08528269
3.1250000000000e+000	    0.0004389789	      -0.1712082
3.2812500000000e+000	    0.0004338387	      0.01015517
3.4375000000000e+000	  -5.284487e-005	       -0.022235
3.5937500000000e+000	    0.0002942346	     0.002777597
3.7500000000000e+000	    0.0001465662	     -0.04421701
3.9062500000000e+000	    -0.001895208	     -0.02511055
4.0625000000000e+000	    -0.001231612	     -0.07136291
4.2187500000000e+000	    -0.002167316	      0.04480519
4.3750000000000e+000	   -0.0008877857	      0.07348678
4.5312500000000e+000	    -0.001357788	     -0.07997698
4.6875000000000e+000	     -0.00265315	      0.07639815
4.8437500000000e+000	    -0.002680011	        0.133411
5.0000000000000e+000	    -0.003381985	       0.1006807
5.1562500000000e+000	    -0.003184907	      0.07008611
5.3125000000000e+000	    -0.004225442	      0.09751566
5.4687500000000e+000	    -0.003641376	      0.08046641
5.6250000000000e+000	     -0.00520898	      0.09677117
5.7812500000000e+000	    -0.004524919	       0.1413917
5.9375000000000e+000	    -0.005397818	       0.1178647
6.0937500000000e+000	    -0.005660946	      0.08015791
6.2500000000000e+000	    -0.005430743	      0.06450927
6.4062500000000e+000	    -0.005350943	      0.09313823
6.5625000000000e+000	    -0.004640388	      0.02661623
6.7187500000000e+000	    -0.004956556	      0.05540773
6.8750000000000e+000	    -0.003323591	     0.009482183
7.0312500000000e+000	    -0.003329109	      0.03613653
7.1875000000000e+000	    -0.002615314	      0.02680132
7.3437500000000e+000	    -0.001747118	      0.05091637
7.5000000000000e+000	    -0.001182069	      0.03477635
7.6562500000000e+000	   -0.0009160221	       0.0600719
7.8125000000000e+000	    0.0001664665	      0.05365618
7.9687500000000e+000	    0.0006137555	      0.01821497
8.1250000000000e+000	     0.001848408	     0.008100402
8.2812500000000e+000	     0.002044016	        0.029932
8.4375000000000e+000	     0.002743364	     -0.03118327
8.5937500000000e+000	     0.003346039	     -0.06025998
8.7500000000000e+000	     0.003684651	     -0.04280096
8.9062500000000e+000	     0.003946062	     -0.04403776
9.0625000000000e+000	     0.004765406	     0.002882048
9.2187500000000e+000	      0.00513446	     -0.05381713
9.3750000000000e+000	     0.005294949	      -0.0764341
9.5312500000000e+000	     0.005240275	     -0.06522961
9.6875000000000e+000	     0.005868609	     -0.09102641
9.8437500000000e+000	     0.005602361	      -0.1154932
1.0000000000000e+001	     0.005903428	     -0.08701453
1.0156250000000e+001	     0.005750953	      -0.1021766
1.0312500000000e+001	     0.005644299	     -0.06339046
1.0468750000000e+001	     0.005586478	     -0.04317575
1.0625000000000e+001	     0.005733305	     -0.05571102
1.0781250000000e+001	     0.005158892	     -0.08403208
1.0937500000000e+001	     0.005453478	     -0.03616861
1.1093750000000e+001	     0.004794618	     -0.08023724
1.1250000000000e+001	     0.004522519	     -0.06732979
1.1406250000000e+001	     0.004102022	     -0.06111868
1.1562500000000e+001	     0.003197769	     -0.03993588
