Data written for 4 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I2	 	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 	Accelerometer	 	Accelerometer	 

   	 S1		 S2		 H1, 2		 H1, 2	
Frequency	 Mag	 Phase	Mag	 Phase	Mag	 Phase	Mag	 Phase
   	Ratio		Ratio		Ratio		Ratio	

Units:
Hz	N	 	m/s²	 	(m/s²)(N)	 	m/s² / N	 
7.0312500000000e+000	     0.002591936	        129.9564	      0.05029909	       -68.94791	        19.40599	        161.0957	        19.40599	        161.0957
7.1875000000000e+000	     0.002666977	        119.3612	      0.03200026	       -65.24322	         11.9987	        175.3955	         11.9987	        175.3955
7.3437500000000e+000	     0.002680066	        109.0229	      0.03804175	       -47.99335	        14.19433	       -157.0163	        14.19433	       -157.0163
7.5000000000000e+000	     0.002549761	        103.4031	      0.04241302	       -65.79688	        16.63411	          -169.2	        16.63411	          -169.2
7.6562500000000e+000	     0.002667495	        99.88672	      0.03911788	       -39.84041	        14.66465	       -139.7271	        14.66465	       -139.7271
7.8125000000000e+000	     0.002450364	        88.05342	      0.05696433	       -61.90317	        23.24729	       -149.9566	        23.24729	       -149.9566
7.9687500000000e+000	     0.002888799	        83.90195	      0.04634793	        -78.6675	        16.04401	       -162.5694	        16.04401	       -162.5694
8.1250000000000e+000	      0.00270193	        69.99799	      0.04022749	       -84.22153	        14.88843	       -154.2195	        14.88843	       -154.2195
8.2812500000000e+000	     0.002570251	        66.56992	      0.05440501	       -74.03292	         21.1672	       -140.6028	         21.1672	       -140.6028
8.4375000000000e+000	     0.002674893	        59.14957	      0.06254681	       -104.4349	        23.38292	       -163.5844	        23.38292	       -163.5844
8.5937500000000e+000	     0.002796067	        53.24838	      0.04089355	       -137.4588	        14.62538	        169.2929	        14.62538	        169.2929
8.7500000000000e+000	     0.002621634	        45.35279	      0.05543668	        -112.708	        21.14585	       -158.0608	        21.14585	       -158.0608
8.9062500000000e+000	     0.002783655	        44.86333	      0.04080479	       -122.6574	        14.65871	       -167.5208	        14.65871	       -167.5208
9.0625000000000e+000	     0.002812696	        32.09975	      0.03412694	       -87.57994	        12.13318	       -119.6797	        12.13318	       -119.6797
9.2187500000000e+000	     0.002841866	         25.3966	      0.03768264	       -135.5682	        13.25983	       -160.9648	        13.25983	       -160.9648
9.3750000000000e+000	     0.002841339	        21.28754	       0.0446311	       -148.9023	        15.70777	       -170.1898	        15.70777	       -170.1898
9.5312500000000e+000	     0.002745305	        17.36808	      0.04774996	       -133.0811	        17.39332	       -150.4492	        17.39332	       -150.4492
9.6875000000000e+000	     0.002954751	        6.744302	      0.04779369	       -162.2292	         16.1752	       -168.9735	         16.1752	       -168.9735
9.8437500000000e+000	     0.002806493	        3.525947	       0.0579807	       -174.8493	        20.65948	       -178.3753	        20.65948	       -178.3753
1.0000000000000e+001	     0.002951729	       0.1824598	      0.04500416	         165.181	        15.24671	        164.9986	        15.24671	        164.9986
1.0156250000000e+001	      0.00290252	       -7.827494	       0.0539803	        161.1602	        18.59773	        168.9876	        18.59773	        168.9876
1.0312500000000e+001	     0.002890622	       -12.49575	      0.03171096	        178.1949	        10.97029	       -169.3094	        10.97029	       -169.3094
1.0468750000000e+001	      0.00294287	       -18.34933	      0.02327493	        158.0508	        7.908923	        176.4002	        7.908923	        176.4002
1.0625000000000e+001	     0.003098959	       -22.32602	      0.02812233	        172.1011	        9.074769	       -165.5728	        9.074769	       -165.5728
