Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	       0.2158283	        1.556482
1.5625000000000e-001	     0.006351559	        3.178041
3.1250000000000e-001	     0.005326097	        3.923408
4.6875000000000e-001	     0.007970524	        3.549047
6.2500000000000e-001	     0.009908762	        2.903324
7.8125000000000e-001	       0.0114839	        2.019971
9.3750000000000e-001	      0.01309673	        1.238034
1.0937500000000e+000	      0.01349897	       0.4412215
1.2500000000000e+000	      0.01382672	      -0.2021602
1.4062500000000e+000	      0.01388473	      -0.6606015
1.5625000000000e+000	      0.01298779	        -1.10163
1.7187500000000e+000	      0.01215895	       -1.421003
1.8750000000000e+000	      0.01120039	       -1.582614
2.0312500000000e+000	      0.01029548	       -1.774189
2.1875000000000e+000	     0.008751707	       -1.793659
2.3437500000000e+000	     0.007978116	        -1.84691
2.5000000000000e+000	     0.005441683	        -1.78441
2.6562500000000e+000	     0.005087976	       -1.791933
2.8125000000000e+000	     0.002335051	       -1.708947
2.9687500000000e+000	     0.001189559	       -1.615746
3.1250000000000e+000	   -0.0002856757	       -1.485594
3.2812500000000e+000	    -0.002970841	       -1.319402
3.4375000000000e+000	    -0.004036839	       -1.127238
3.5937500000000e+000	    -0.005808924	       -1.015222
3.7500000000000e+000	    -0.007523395	      -0.9503285
3.9062500000000e+000	    -0.009499274	      -0.7704647
4.0625000000000e+000	     -0.01250172	       -0.598116
4.2187500000000e+000	     -0.01291707	      -0.4654016
4.3750000000000e+000	     -0.01458197	      -0.3200974
4.5312500000000e+000	     -0.01594256	      -0.1601851
4.6875000000000e+000	     -0.01610972	      -0.0113883
4.8437500000000e+000	     -0.01645204	      0.09167802
5.0000000000000e+000	     -0.01691153	       0.2015313
5.1562500000000e+000	     -0.01686636	       0.2441047
5.3125000000000e+000	     -0.01684541	       0.3550296
5.4687500000000e+000	     -0.01644598	       0.4581405
5.6250000000000e+000	     -0.01594969	       0.4945341
5.7812500000000e+000	     -0.01532462	       0.5250168
5.9375000000000e+000	      -0.0147406	       0.5770187
6.0937500000000e+000	     -0.01340323	       0.5693433
6.2500000000000e+000	     -0.01263295	       0.5938879
6.4062500000000e+000	     -0.01099938	       0.6204772
6.5625000000000e+000	     -0.01013911	       0.6088965
6.7187500000000e+000	    -0.008729337	       0.5892655
6.8750000000000e+000	    -0.007101072	       0.5839904
7.0312500000000e+000	    -0.005722863	       0.5615175
7.1875000000000e+000	     -0.00435837	       0.5641459
7.3437500000000e+000	    -0.002157597	       0.5428852
7.5000000000000e+000	    -0.001299849	       0.4676975
7.6562500000000e+000	    0.0007777172	       0.4292788
7.8125000000000e+000	     0.002502509	       0.3841518
7.9687500000000e+000	     0.003673801	       0.3155476
8.1250000000000e+000	     0.005494149	       0.2632259
8.2812500000000e+000	     0.006432302	       0.2402813
8.4375000000000e+000	     0.008141262	       0.2045019
8.5937500000000e+000	      0.00960757	       0.1657708
8.7500000000000e+000	      0.01078319	       0.1176506
8.9062500000000e+000	      0.01164015	      0.05731328
9.0625000000000e+000	      0.01280476	      0.03371567
9.2187500000000e+000	      0.01376691	     0.006726891
9.3750000000000e+000	      0.01460346	     -0.04303931
9.5312500000000e+000	      0.01519891	     -0.07243453
9.6875000000000e+000	      0.01554786	     -0.06832587
9.8437500000000e+000	      0.01584408	     -0.09790047
1.0000000000000e+001	      0.01608804	      -0.1256416
1.0156250000000e+001	      0.01582101	      -0.1625921
1.0312500000000e+001	       0.0157785	      -0.1310775
1.0468750000000e+001	      0.01571246	      -0.1761522
1.0625000000000e+001	      0.01486496	      -0.1949436
1.0781250000000e+001	      0.01435171	      -0.1964074
1.0937500000000e+001	      0.01353419	      -0.1778297
1.1093750000000e+001	        0.012388	      -0.2160762
1.1250000000000e+001	      0.01172753	      -0.2464619
1.1406250000000e+001	      0.01054577	      -0.2147825
1.1562500000000e+001	     0.009429639	      -0.2176117
1.1718750000000e+001	     0.007959492	      -0.1929954
