Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I2	I2
Channel Comments		
Channel Labels	Accelerometer	Accelerometer

   	 C1, 2	 C1, 2
Frequency	 Mag	Mag
   	Ratio	Ratio

Units:
Hz		
0.0000000000000e+000	       0.9999999	       0.9999999
1.5625000000000e-001	       0.9999999	       0.9999999
3.1250000000000e-001	               1	               1
4.6875000000000e-001	       0.9999999	       0.9999999
6.2500000000000e-001	               1	               1
7.8125000000000e-001	               1	               1
9.3750000000000e-001	               1	               1
1.0937500000000e+000	               1	               1
1.2500000000000e+000	               1	               1
1.4062500000000e+000	               1	               1
1.5625000000000e+000	               1	               1
1.7187500000000e+000	       0.9999999	       0.9999999
1.8750000000000e+000	               1	               1
2.0312500000000e+000	               1	               1
2.1875000000000e+000	       0.9999999	       0.9999999
2.3437500000000e+000	               1	               1
2.5000000000000e+000	               1	               1
2.6562500000000e+000	       0.9999999	       0.9999999
2.8125000000000e+000	               1	               1
2.9687500000000e+000	               1	               1
3.1250000000000e+000	               1	               1
3.2812500000000e+000	       0.9999999	       0.9999999
3.4375000000000e+000	               1	               1
3.5937500000000e+000	               1	               1
3.7500000000000e+000	       0.9999999	       0.9999999
3.9062500000000e+000	               1	               1
4.0625000000000e+000	       0.9999999	       0.9999999
4.2187500000000e+000	               1	               1
4.3750000000000e+000	       0.9999999	       0.9999999
4.5312500000000e+000	               1	               1
4.6875000000000e+000	               1	               1
4.8437500000000e+000	               1	               1
5.0000000000000e+000	               1	               1
5.1562500000000e+000	               1	               1
5.3125000000000e+000	               1	               1
5.4687500000000e+000	               1	               1
5.6250000000000e+000	       0.9999999	       0.9999999
5.7812500000000e+000	               1	               1
5.9375000000000e+000	               1	               1
6.0937500000000e+000	               1	               1
6.2500000000000e+000	               1	               1
6.4062500000000e+000	       0.9999999	       0.9999999
6.5625000000000e+000	               1	               1
6.7187500000000e+000	               1	               1
6.8750000000000e+000	       0.9999999	       0.9999999
7.0312500000000e+000	       0.9999999	       0.9999999
7.1875000000000e+000	               1	               1
7.3437500000000e+000	               1	               1
7.5000000000000e+000	       0.9999999	       0.9999999
7.6562500000000e+000	               1	               1
7.8125000000000e+000	       0.9999999	       0.9999999
7.9687500000000e+000	       0.9999999	       0.9999999
8.1250000000000e+000	       0.9999999	       0.9999999
8.2812500000000e+000	               1	               1
8.4375000000000e+000	               1	               1
8.5937500000000e+000	               1	               1
8.7500000000000e+000	       0.9999999	       0.9999999
8.9062500000000e+000	               1	               1
9.0625000000000e+000	               1	               1
9.2187500000000e+000	               1	               1
9.3750000000000e+000	       0.9999999	       0.9999999
9.5312500000000e+000	               1	               1
9.6875000000000e+000	       0.9999999	       0.9999999
9.8437500000000e+000	               1	               1
1.0000000000000e+001	               1	               1
1.0156250000000e+001	               1	               1
1.0312500000000e+001	               1	               1
1.0468750000000e+001	       0.9999999	       0.9999999
1.0625000000000e+001	               1	               1
1.0781250000000e+001	               1	               1
1.0937500000000e+001	               1	               1
1.1093750000000e+001	               1	               1
1.1250000000000e+001	               1	               1
1.1406250000000e+001	               1	               1
1.1562500000000e+001	       0.9999999	       0.9999999
1.1718750000000e+001	               1	               1
1.1875000000000e+001	               1	               1
1.2031250000000e+001	               1	               1
1.2187500000000e+001	       0.9999999	       0.9999999
1.2343750000000e+001	               1	               1
1.2500000000000e+001	               1	               1
1.2656250000000e+001	               1	               1
1.2812500000000e+001	       0.9999999	       0.9999999
1.2968750000000e+001	               1	               1
1.3125000000000e+001	               1	               1
1.3281250000000e+001	               1	               1
1.3437500000000e+001	               1	               1
1.3593750000000e+001	       0.9999999	       0.9999999
1.3750000000000e+001	       0.9999999	       0.9999999
1.3906250000000e+001	               1	               1
1.4062500000000e+001	       0.9999999	       0.9999999
1.4218750000000e+001	               1	               1
1.4375000000000e+001	       0.9999999	       0.9999999
1.4531250000000e+001	               1	               1
1.4687500000000e+001	               1	               1
1.4843750000000e+001	               1	               1
1.5000000000000e+001	               1	               1
1.5156250000000e+001	       0.9999999	       0.9999999
1.5312500000000e+001	               1	               1
1.5468750000000e+001	               1	               1
1.5625000000000e+001	       0.9999999	       0.9999999
1.5781250000000e+001	               1	               1
1.5937500000000e+001	       0.9999999	       0.9999999
1.6093750000000e+001	               1	               1
1.6250000000000e+001	               1	               1
1.6406250000000e+001	       0.9999999	       0.9999999
1.6562500000000e+001	               1	               1
1.6718750000000e+001	       0.9999999	       0.9999999
1.6875000000000e+001	               1	               1
1.7031250000000e+001	       0.9999999	       0.9999999
1.7187500000000e+001	               1	               1
1.7343750000000e+001	       0.9999999	       0.9999999
1.7500000000000e+001	               1	               1
1.7656250000000e+001	       0.9999999	       0.9999999
1.7812500000000e+001	       0.9999999	       0.9999999
1.7968750000000e+001	               1	               1
1.8125000000000e+001	               1	               1
1.8281250000000e+001	               1	               1
1.8437500000000e+001	               1	               1
1.8593750000000e+001	       0.9999999	       0.9999999
1.8750000000000e+001	               1	               1
1.8906250000000e+001	               1	               1
1.9062500000000e+001	               1	               1
1.9218750000000e+001	               1	               1
1.9375000000000e+001	       0.9999999	       0.9999999
1.9531250000000e+001	               1	               1
1.9687500000000e+001	               1	               1
1.9843750000000e+001	       0.9999999	       0.9999999
2.0000000000000e+001	               1	               1
2.0156250000000e+001	       0.9999999	       0.9999999
2.0312500000000e+001	       0.9999999	       0.9999999
2.0468750000000e+001	       0.9999999	       0.9999999
2.0625000000000e+001	               1	               1
2.0781250000000e+001	       0.9999999	       0.9999999
2.0937500000000e+001	               1	               1
2.1093750000000e+001	       0.9999999	       0.9999999
2.1250000000000e+001	               1	               1
2.1406250000000e+001	               1	               1
2.1562500000000e+001	               1	               1
2.1718750000000e+001	               1	               1
2.1875000000000e+001	       0.9999999	       0.9999999
2.2031250000000e+001	               1	               1
2.2187500000000e+001	               1	               1
2.2343750000000e+001	               1	               1
2.2500000000000e+001	               1	               1
2.2656250000000e+001	               1	               1
2.2812500000000e+001	               1	               1
2.2968750000000e+001	               1	               1
2.3125000000000e+001	       0.9999999	       0.9999999
2.3281250000000e+001	               1	               1
2.3437500000000e+001	               1	               1
2.3593750000000e+001	               1	               1
2.3750000000000e+001	               1	               1
2.3906250000000e+001	               1	               1
2.4062500000000e+001	               1	               1
2.4218750000000e+001	       0.9999999	       0.9999999
2.4375000000000e+001	       0.9999999	       0.9999999
2.4531250000000e+001	       0.9999999	       0.9999999
2.4687500000000e+001	       0.9999999	       0.9999999
2.4843750000000e+001	               1	               1
2.5000000000000e+001	       0.9999999	       0.9999999
2.5156250000000e+001	               1	               1
2.5312500000000e+001	       0.9999999	       0.9999999
2.5468750000000e+001	               1	               1
2.5625000000000e+001	       0.9999998	       0.9999998
2.5781250000000e+001	       0.9999999	       0.9999999
2.5937500000000e+001	               1	               1
2.6093750000000e+001	       0.9999999	       0.9999999
2.6250000000000e+001	       0.9999999	       0.9999999
2.6406250000000e+001	               1	               1
2.6562500000000e+001	               1	               1
2.6718750000000e+001	               1	               1
2.6875000000000e+001	               1	               1
2.7031250000000e+001	               1	               1
2.7187500000000e+001	       0.9999999	       0.9999999
2.7343750000000e+001	       0.9999999	       0.9999999
2.7500000000000e+001	               1	               1
2.7656250000000e+001	               1	               1
2.7812500000000e+001	               1	               1
2.7968750000000e+001	               1	               1
2.8125000000000e+001	               1	               1
2.8281250000000e+001	       0.9999999	       0.9999999
2.8437500000000e+001	               1	               1
2.8593750000000e+001	               1	               1
2.8750000000000e+001	       0.9999999	       0.9999999
2.8906250000000e+001	               1	               1
2.9062500000000e+001	               1	               1
2.9218750000000e+001	               1	               1
2.9375000000000e+001	       0.9999999	       0.9999999
2.9531250000000e+001	               1	               1
2.9687500000000e+001	       0.9999999	       0.9999999
2.9843750000000e+001	       0.9999998	       0.9999998
3.0000000000000e+001	       0.9999999	       0.9999999
3.0156250000000e+001	               1	               1
3.0312500000000e+001	       0.9999999	       0.9999999
3.0468750000000e+001	               1	               1
3.0625000000000e+001	               1	               1
3.0781250000000e+001	       0.9999999	       0.9999999
3.0937500000000e+001	               1	               1
3.1093750000000e+001	       0.9999999	       0.9999999
3.1250000000000e+001	               1	               1
3.1406250000000e+001	               1	               1
3.1562500000000e+001	               1	               1
3.1718750000000e+001	       0.9999999	       0.9999999
3.1875000000000e+001	               1	               1
3.2031250000000e+001	               1	               1
3.2187500000000e+001	       0.9999999	       0.9999999
3.2343750000000e+001	               1	               1
3.2500000000000e+001	       0.9999999	       0.9999999
3.2656250000000e+001	               1	               1
3.2812500000000e+001	       0.9999999	       0.9999999
3.2968750000000e+001	       0.9999999	       0.9999999
3.3125000000000e+001	       0.9999999	       0.9999999
3.3281250000000e+001	               1	               1
3.3437500000000e+001	               1	               1
3.3593750000000e+001	       0.9999999	       0.9999999
3.3750000000000e+001	               1	               1
3.3906250000000e+001	               1	               1
3.4062500000000e+001	               1	               1
3.4218750000000e+001	       0.9999999	       0.9999999
3.4375000000000e+001	               1	               1
3.4531250000000e+001	               1	               1
3.4687500000000e+001	               1	               1
3.4843750000000e+001	               1	               1
3.5000000000000e+001	               1	               1
3.5156250000000e+001	       0.9999999	       0.9999999
3.5312500000000e+001	               1	               1
3.5468750000000e+001	               1	               1
3.5625000000000e+001	       0.9999999	       0.9999999
3.5781250000000e+001	               1	               1
3.5937500000000e+001	               1	               1
3.6093750000000e+001	               1	               1
3.6250000000000e+001	               1	               1
3.6406250000000e+001	               1	               1
3.6562500000000e+001	               1	               1
3.6718750000000e+001	       0.9999999	       0.9999999
3.6875000000000e+001	               1	               1
3.7031250000000e+001	               1	               1
3.7187500000000e+001	               1	               1
3.7343750000000e+001	       0.9999999	       0.9999999
3.7500000000000e+001	               1	               1
3.7656250000000e+001	               1	               1
3.7812500000000e+001	               1	               1
3.7968750000000e+001	               1	               1
3.8125000000000e+001	               1	               1
3.8281250000000e+001	       0.9999999	       0.9999999
3.8437500000000e+001	               1	               1
3.8593750000000e+001	               1	               1
3.8750000000000e+001	               1	               1
3.8906250000000e+001	               1	               1
3.9062500000000e+001	               1	               1
3.9218750000000e+001	               1	               1
3.9375000000000e+001	       0.9999999	       0.9999999
3.9531250000000e+001	               1	               1
3.9687500000000e+001	       0.9999999	       0.9999999
3.9843750000000e+001	       0.9999999	       0.9999999
4.0000000000000e+001	       0.9999999	       0.9999999
4.0156250000000e+001	               1	               1
4.0312500000000e+001	               1	               1
4.0468750000000e+001	       0.9999999	       0.9999999
4.0625000000000e+001	               1	               1
4.0781250000000e+001	       0.9999999	       0.9999999
4.0937500000000e+001	       0.9999999	       0.9999999
4.1093750000000e+001	               1	               1
4.1250000000000e+001	               1	               1
4.1406250000000e+001	       0.9999999	       0.9999999
4.1562500000000e+001	               1	               1
4.1718750000000e+001	               1	               1
4.1875000000000e+001	       0.9999999	       0.9999999
4.2031250000000e+001	               1	               1
4.2187500000000e+001	               1	               1
4.2343750000000e+001	               1	               1
4.2500000000000e+001	               1	               1
4.2656250000000e+001	               1	               1
4.2812500000000e+001	       0.9999999	       0.9999999
4.2968750000000e+001	               1	               1
4.3125000000000e+001	               1	               1
4.3281250000000e+001	               1	               1
4.3437500000000e+001	       0.9999999	       0.9999999
4.3593750000000e+001	       0.9999999	       0.9999999
4.3750000000000e+001	               1	               1
4.3906250000000e+001	       0.9999999	       0.9999999
4.4062500000000e+001	               1	               1
4.4218750000000e+001	               1	               1
4.4375000000000e+001	       0.9999999	       0.9999999
4.4531250000000e+001	               1	               1
4.4687500000000e+001	               1	               1
4.4843750000000e+001	               1	               1
4.5000000000000e+001	               1	               1
4.5156250000000e+001	               1	               1
4.5312500000000e+001	               1	               1
4.5468750000000e+001	               1	               1
4.5625000000000e+001	               1	               1
4.5781250000000e+001	               1	               1
4.5937500000000e+001	               1	               1
