Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-5.3125000000000e-002	       0.2085163	        1.250988
-5.2734375000000e-002	        0.208799	         1.26203
-5.2343750000000e-002	       0.2121592	       0.5266392
-5.1953125000000e-002	         0.21031	      -0.3240295
-5.1562500000000e-002	       0.2112264	      -0.8247352
-5.1171875000000e-002	       0.2143162	       -1.516805
-5.0781250000000e-002	       0.2101751	       -1.909034
-5.0390625000000e-002	       0.2106555	        -2.01328
-5.0000000000000e-002	       0.2096164	       -2.413272
-4.9609375000000e-002	       0.2091713	       -2.571113
-4.9218750000000e-002	       0.2085027	       -3.319208
-4.8828125000000e-002	       0.2084894	       -3.298741
-4.8437500000000e-002	       0.2078759	       -3.327068
-4.8046875000000e-002	       0.2070383	       -3.229841
-4.7656250000000e-002	       0.2072836	       -3.111851
-4.7265625000000e-002	       0.2058872	       -3.017236
-4.6875000000000e-002	       0.2091679	       -2.733722
-4.6484375000000e-002	       0.2074792	       -2.307751
-4.6093750000000e-002	       0.2064164	       -1.824546
-4.5703125000000e-002	       0.2031885	       -1.209588
-4.5312500000000e-002	       0.2028249	       -0.857381
-4.4921875000000e-002	       0.2053215	      -0.5986545
-4.4531250000000e-002	       0.2038449	     -0.05005707
-4.4140625000000e-002	       0.2032022	       0.6965296
-4.3750000000000e-002	       0.2078447	       0.7902963
-4.3359375000000e-002	       0.2076942	       0.8794156
-4.2968750000000e-002	       0.2089149	        1.453385
-4.2578125000000e-002	       0.2061601	        1.576961
-4.2187500000000e-002	        0.206638	        1.855735
-4.1796875000000e-002	       0.2065509	        2.371678
-4.1406250000000e-002	        0.199357	        2.710197
-4.1015625000000e-002	       0.2037892	         2.67809
-4.0625000000000e-002	       0.2012893	        2.532934
-4.0234375000000e-002	       0.2014534	        1.892084
-3.9843750000000e-002	       0.2009831	        1.751105
-3.9453125000000e-002	       0.2032531	        1.879954
-3.9062500000000e-002	       0.2029662	        1.703124
-3.8671875000000e-002	       0.2024708	        1.872543
-3.8281250000000e-002	       0.2013252	        1.830174
-3.7890625000000e-002	       0.1994378	        1.770631
-3.7500000000000e-002	       0.2008238	        1.649035
-3.7109375000000e-002	       0.2015382	        1.362139
-3.6718750000000e-002	       0.2007607	         1.16704
-3.6328125000000e-002	       0.2004499	        1.059989
-3.5937500000000e-002	       0.1976665	       0.8123023
-3.5546875000000e-002	       0.1968619	       0.4298367
-3.5156250000000e-002	       0.1989795	       0.2562709
-3.4765625000000e-002	       0.1983749	       0.3654653
-3.4375000000000e-002	       0.1980955	       0.2596858
-3.3984375000000e-002	       0.1975805	       0.2276591
-3.3593750000000e-002	        0.194596	       0.2936949
-3.3203125000000e-002	       0.1969794	       0.1920145
-3.2812500000000e-002	       0.1970355	        0.191866
-3.2421875000000e-002	       0.1956909	      -0.2038675
-3.2031250000000e-002	       0.1972689	       -1.074689
-3.1640625000000e-002	       0.1957951	        -1.69752
-3.1250000000000e-002	       0.1907481	       -2.394806
-3.0859375000000e-002	       0.1930425	       -2.810905
-3.0468750000000e-002	       0.1929564	       -2.830339
-3.0078125000000e-002	       0.1904934	       -2.942742
-2.9687500000000e-002	       0.1922356	        -2.95272
-2.9296875000000e-002	       0.1921808	       -2.955325
-2.8906250000000e-002	       0.1908486	       -3.330001
-2.8515625000000e-002	       0.1925429	       -3.662245
-2.8125000000000e-002	       0.1929714	       -3.481794
-2.7734375000000e-002	       0.1929546	       -3.157208
-2.7343750000000e-002	       0.1948697	       -2.908091
-2.6953125000000e-002	        0.193499	       -2.695435
-2.6562500000000e-002	       0.1928994	        -2.61413
-2.6171875000000e-002	        0.189681	       -2.485499
-2.5781250000000e-002	       0.1889474	       -1.541555
-2.5390625000000e-002	        0.190825	       -1.051011
