Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real

Units:
Hz	(m/s²)(N)
0.0000000000000e+000	       0.1679664
1.5625000000000e-001	    0.0009393471
3.1250000000000e-001	      0.01378694
4.6875000000000e-001	      0.01936878
6.2500000000000e-001	       0.0200014
7.8125000000000e-001	       0.0184623
9.3750000000000e-001	      0.01493155
1.0937500000000e+000	      0.01298631
1.2500000000000e+000	       0.0102705
1.4062500000000e+000	     0.008255044
1.5625000000000e+000	     0.005772665
1.7187500000000e+000	     0.003283465
1.8750000000000e+000	     0.003112679
2.0312500000000e+000	    0.0005727694
2.1875000000000e+000	    0.0004456044
2.3437500000000e+000	    -0.001524643
2.5000000000000e+000	   -0.0006832949
2.6562500000000e+000	    -0.002543886
2.8125000000000e+000	    -0.002097944
2.9687500000000e+000	      -0.0032161
3.1250000000000e+000	    -0.003411224
3.2812500000000e+000	     -0.00363099
3.4375000000000e+000	    -0.004398261
3.5937500000000e+000	    -0.003168278
3.7500000000000e+000	    -0.004080038
3.9062500000000e+000	    -0.004416291
4.0625000000000e+000	     -0.00365232
4.2187500000000e+000	    -0.003614241
4.3750000000000e+000	    -0.003872291
4.5312500000000e+000	    -0.003846012
4.6875000000000e+000	     -0.00361511
4.8437500000000e+000	    -0.003469554
5.0000000000000e+000	    -0.003202052
5.1562500000000e+000	    -0.002970545
5.3125000000000e+000	    -0.002782697
5.4687500000000e+000	     -0.00316518
5.6250000000000e+000	    -0.002825301
5.7812500000000e+000	    -0.002672584
5.9375000000000e+000	    -0.002606673
6.0937500000000e+000	    -0.002314089
6.2500000000000e+000	    -0.002426329
6.4062500000000e+000	    -0.002097476
6.5625000000000e+000	    -0.002129966
6.7187500000000e+000	    -0.002142434
6.8750000000000e+000	    -0.002063422
7.0312500000000e+000	    -0.001904595
7.1875000000000e+000	    -0.001986459
7.3437500000000e+000	    -0.001844131
7.5000000000000e+000	    -0.002045571
7.6562500000000e+000	     -0.00173187
7.8125000000000e+000	    -0.001836637
7.9687500000000e+000	     -0.00174888
8.1250000000000e+000	    -0.001561812
8.2812500000000e+000	    -0.001503766
8.4375000000000e+000	    -0.001565858
8.5937500000000e+000	    -0.001380634
8.7500000000000e+000	    -0.001367767
8.9062500000000e+000	    -0.001367781
9.0625000000000e+000	    -0.001300326
9.2187500000000e+000	    -0.001201171
9.3750000000000e+000	    -0.001305571
9.5312500000000e+000	    -0.001241071
9.6875000000000e+000	   -0.0009335909
9.8437500000000e+000	    -0.001008808
1.0000000000000e+001	    -0.000983628
1.0156250000000e+001	    -0.001082662
1.0312500000000e+001	   -0.0007045903
1.0468750000000e+001	    -0.000869657
1.0625000000000e+001	   -0.0008466784
1.0781250000000e+001	   -0.0008334283
1.0937500000000e+001	   -0.0005163099
1.1093750000000e+001	   -0.0006647857
1.1250000000000e+001	   -0.0009887621
1.1406250000000e+001	   -0.0007853654
1.1562500000000e+001	   -0.0007920514
