Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-1.0000000000000e-001	       0.1724512	        3.642246
-9.9609375000000e-002	        0.169923	        3.364783
-9.9218750000000e-002	       0.1695015	        3.169472
-9.8828125000000e-002	       0.1692046	        3.217792
-9.8437500000000e-002	       0.1691561	        3.125566
-9.8046875000000e-002	       0.1691172	         2.83813
-9.7656250000000e-002	       0.1683866	        1.984753
-9.7265625000000e-002	       0.1649927	        1.500332
-9.6875000000000e-002	       0.1657347	       0.6465579
-9.6484375000000e-002	       0.1657248	       0.1201655
-9.6093750000000e-002	       0.1655183	       0.1445844
-9.5703125000000e-002	       0.1658294	      -0.3497855
-9.5312500000000e-002	       0.1649106	      -0.5293226
-9.4921875000000e-002	       0.1630335	      -0.6329842
-9.4531250000000e-002	       0.1671286	      -0.8564022
-9.4140625000000e-002	       0.1674178	      -0.8750833
-9.3750000000000e-002	       0.1657933	      -0.9401104
-9.3359375000000e-002	       0.1608519	      -0.7743161
-9.2968750000000e-002	       0.1636427	       -0.666641
-9.2578125000000e-002	       0.1633809	      -0.5792525
-9.2187500000000e-002	       0.1642847	      -0.2907834
-9.1796875000000e-002	       0.1655828	       0.2129655
-9.1406250000000e-002	       0.1666087	        0.921033
-9.1015625000000e-002	       0.1656048	        1.467877
-9.0625000000000e-002	       0.1659894	        1.882667
-9.0234375000000e-002	        0.162881	        2.360355
-8.9843750000000e-002	       0.1646404	        2.643968
-8.9453125000000e-002	       0.1666168	        3.049612
-8.9062500000000e-002	       0.1620615	         3.21625
-8.8671875000000e-002	       0.1629574	        3.175714
-8.8281250000000e-002	       0.1620086	        3.287445
-8.7890625000000e-002	        0.165125	        3.671547
-8.7500000000000e-002	       0.1602138	        4.120247
-8.7109375000000e-002	       0.1609788	        4.317773
-8.6718750000000e-002	       0.1627332	        4.389439
-8.6328125000000e-002	       0.1610556	        4.260223
-8.5937500000000e-002	       0.1611069	        4.419603
-8.5546875000000e-002	       0.1622951	        4.448418
-8.5156250000000e-002	       0.1625155	        4.265573
-8.4765625000000e-002	       0.1613023	        4.121243
-8.4375000000000e-002	       0.1601659	        4.148482
-8.3984375000000e-002	       0.1591518	        4.248776
-8.3593750000000e-002	       0.1615206	        4.381144
-8.3203125000000e-002	       0.1588756	        4.190449
-8.2812500000000e-002	       0.1586094	        4.052647
-8.2421875000000e-002	       0.1630044	        3.823714
-8.2031250000000e-002	       0.1665789	        3.363807
-8.1640625000000e-002	       0.1623312	        3.072515
-8.1250000000000e-002	       0.1621592	        2.907394
-8.0859375000000e-002	       0.1593857	        2.780776
-8.0468750000000e-002	       0.1603812	        2.732899
-8.0078125000000e-002	       0.1582541	        2.636322
-7.9687500000000e-002	       0.1594502	        2.374901
-7.9296875000000e-002	       0.1622958	        2.154033
-7.8906250000000e-002	       0.1617575	          2.0616
-7.8515625000000e-002	       0.1630422	        1.875857
-7.8125000000000e-002	       0.1603558	        1.732693
-7.7734375000000e-002	       0.1599694	        1.122989
-7.7343750000000e-002	       0.1597402	       0.6600827
-7.6953125000000e-002	       0.1595506	       0.2692601
-7.6562500000000e-002	       0.1594492	      -0.1974556
-7.6171875000000e-002	        0.162031	      -0.5208324
-7.5781250000000e-002	       0.1624871	      -0.7385057
-7.5390625000000e-002	       0.1591987	       -1.140888
-7.5000000000000e-002	       0.1572662	       -1.379372
-7.4609375000000e-002	       0.1567679	        -1.56546
-7.4218750000000e-002	       0.1587978	       -1.938666
-7.3828125000000e-002	       0.1601933	       -1.691655
-7.3437500000000e-002	       0.1649816	       -1.315688
-7.3046875000000e-002	        0.163473	       -1.576796
-7.2656250000000e-002	       0.1611742	       -1.437932
-7.2265625000000e-002	       0.1593709	        -1.28749
-7.1875000000000e-002	       0.1591391	        -1.06769
-7.1484375000000e-002	       0.1566202	     0.001615785
-7.1093750000000e-002	       0.1602051	       0.6251508
-7.0703125000000e-002	        0.157968	        1.210435
-7.0312500000000e-002	        0.156186	        1.477961
-6.9921875000000e-002	       0.1586106	        1.654052
-6.9531250000000e-002	       0.1639268	         2.07915
-6.9140625000000e-002	       0.1562083	        2.479808
-6.8750000000000e-002	       0.1580306	        2.653169
-6.8359375000000e-002	       0.1600307	        2.804982
-6.7968750000000e-002	       0.1590391	        3.134574
-6.7578125000000e-002	       0.1584747	        3.148159
-6.7187500000000e-002	       0.1590475	         3.43473
