Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	        0.198903	        1.703279
1.5625000000000e-001	     0.002973798	       0.1878816
3.1250000000000e-001	      0.00336412	       0.4065315
4.6875000000000e-001	     0.003518973	       0.2103701
6.2500000000000e-001	     0.004587144	        0.415076
7.8125000000000e-001	     0.006063149	      0.08808776
9.3750000000000e-001	     0.006401368	        0.058166
1.0937500000000e+000	     0.004983015	     -0.05106705
1.2500000000000e+000	     0.004951173	      0.07386516
1.4062500000000e+000	        0.006048	     -0.02922493
1.5625000000000e+000	     0.004081188	      -0.1408894
1.7187500000000e+000	     0.003257428	      -0.2134716
1.8750000000000e+000	      0.00281497	      -0.1658317
2.0312500000000e+000	     0.006316061	      -0.2229242
2.1875000000000e+000	     0.004041536	      -0.0792072
2.3437500000000e+000	     0.001847297	      -0.1252768
2.5000000000000e+000	     0.002620301	     -0.06286008
2.6562500000000e+000	     0.002590305	     -0.02599177
2.8125000000000e+000	     0.003242456	      -0.1053932
2.9687500000000e+000	     0.002170291	     -0.06715216
3.1250000000000e+000	   -0.0001536398	     -0.03346203
3.2812500000000e+000	    -0.000379533	     -0.04693026
3.4375000000000e+000	    -0.001318068	     -0.02227351
3.5937500000000e+000	    -0.001935767	       0.0305677
3.7500000000000e+000	    -0.002772797	      0.02970158
3.9062500000000e+000	    -0.004773777	     -0.02684224
4.0625000000000e+000	     -0.00479135	    -0.001679035
4.2187500000000e+000	    -0.006651198	     -0.05000812
4.3750000000000e+000	    -0.005671085	     -0.08659882
4.5312500000000e+000	     -0.00667904	     -0.03886252
4.6875000000000e+000	    -0.007426106	       0.0435616
4.8437500000000e+000	    -0.009182963	      0.07310958
5.0000000000000e+000	    -0.008781562	      0.04288853
5.1562500000000e+000	     -0.00775119	      0.04758003
5.3125000000000e+000	    -0.008354807	       0.0207312
5.4687500000000e+000	    -0.009328239	       0.1069203
5.6250000000000e+000	    -0.008121399	     -0.01526426
5.7812500000000e+000	     -0.00865897	     0.008395245
5.9375000000000e+000	    -0.007771349	     -0.01395542
6.0937500000000e+000	    -0.007833341	     -0.01005195
6.2500000000000e+000	    -0.007220022	      0.02717158
6.4062500000000e+000	    -0.006227714	      0.03668768
6.5625000000000e+000	    -0.005550984	     0.002950004
6.7187500000000e+000	    -0.004767281	      0.03533647
6.8750000000000e+000	     -0.00383537	      0.02739463
7.0312500000000e+000	    -0.002687475	       0.0283015
7.1875000000000e+000	    -0.002224059	    -0.001702528
7.3437500000000e+000	    -0.001186667	      0.03286042
7.5000000000000e+000	   -0.0005360791	      0.07988561
7.6562500000000e+000	     0.001246344	     -0.03918488
7.8125000000000e+000	     0.001011258	     -0.02799842
7.9687500000000e+000	     0.002385463	     -0.02233886
8.1250000000000e+000	     0.003197155	       0.0720772
8.2812500000000e+000	     0.004039063	       0.0140282
8.4375000000000e+000	     0.004494452	     -0.01161778
8.5937500000000e+000	     0.005708852	      0.03811131
8.7500000000000e+000	     0.005855137	      0.03753024
8.9062500000000e+000	     0.006528783	      0.02884128
9.0625000000000e+000	     0.007299517	     -0.02562354
9.2187500000000e+000	      0.00754643	     -0.01191535
9.3750000000000e+000	     0.008123329	     -0.02935638
9.5312500000000e+000	     0.008444098	     0.008426877
9.6875000000000e+000	      0.00887287	     0.008669724
9.8437500000000e+000	     0.008888031	     -0.00441597
1.0000000000000e+001	     0.009148294	     -0.02353162
1.0156250000000e+001	     0.008833211	   -0.0002678651
1.0312500000000e+001	     0.008790474	     -0.01020323
1.0468750000000e+001	      0.00845289	     -0.01076105
1.0625000000000e+001	     0.008303015	      0.01029063
1.0781250000000e+001	     0.007903532	     -0.01196129
1.0937500000000e+001	     0.007658884	     -0.03515578
1.1093750000000e+001	     0.006669783	    0.0005732299
1.1250000000000e+001	     0.006415236	   -0.0003300142
1.1406250000000e+001	     0.005601317	     -0.03962371
1.1562500000000e+001	     0.005217149	     -0.01678782
