Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		
Channel Labels	Impact Hammer	Accelerometer

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
-9.9609375000000e-002	       0.1799776	        2.484234
-9.8632812500000e-002	       0.1773999	        1.972149
-9.7656250000000e-002	       0.1817199	        1.888762
-9.6679687500000e-002	       0.1842392	        1.464339
-9.5703125000000e-002	       0.1827967	        1.081762
-9.4726562500000e-002	        0.181994	        0.826132
-9.3750000000000e-002	       0.1808867	       0.8961172
-9.2773437500000e-002	        0.180644	      -0.7349388
-9.1796875000000e-002	        0.183278	       -2.901147
-9.0820312500000e-002	       0.1850193	       -3.308571
-8.9843750000000e-002	       0.1833555	       -4.025332
-8.8867187500000e-002	       0.1820034	       -4.217089
-8.7890625000000e-002	       0.1788786	       -3.776287
-8.6914062500000e-002	       0.1811151	       -2.433472
-8.5937500000000e-002	        0.180444	      -0.3937057
-8.4960937500000e-002	       0.1809719	       0.7084792
-8.3984375000000e-002	       0.1807094	         2.34115
-8.3007812500000e-002	       0.1790776	        3.197149
-8.2031250000000e-002	       0.1790111	        3.731026
-8.1054687500000e-002	       0.1799937	        3.446578
-8.0078125000000e-002	       0.1853776	        3.129742
-7.9101562500000e-002	        0.182668	        3.042754
-7.8125000000000e-002	       0.1853681	        2.519574
-7.7148437500000e-002	       0.1881356	         2.27636
-7.6171875000000e-002	       0.1889296	        1.761555
-7.5195312500000e-002	       0.1900224	        1.607641
-7.4218750000000e-002	       0.1888069	        1.311756
-7.3242187500000e-002	       0.1901918	       0.7766864
-7.2265625000000e-002	       0.1925217	       -1.241677
-7.1289062500000e-002	       0.1919828	       -2.521097
-7.0312500000000e-002	       0.1911628	        -3.03948
-6.9335937500000e-002	        0.190371	        -3.76213
-6.8359375000000e-002	       0.1891815	       -3.400156
-6.7382812500000e-002	       0.1967056	       -2.701412
-6.6406250000000e-002	       0.1980209	      -0.5396263
-6.5429687500000e-002	       0.1951071	       0.8562108
-6.4453125000000e-002	       0.1948127	        2.037385
-6.3476562500000e-002	       0.1977995	        2.878624
-6.2500000000000e-002	       0.1996097	        3.685621
-6.1523437500000e-002	       0.1949186	        4.170151
-6.0546875000000e-002	       0.1990285	        3.272345
-5.9570312500000e-002	       0.2015563	         3.24567
-5.8593750000000e-002	       0.2041915	        2.607226
-5.7617187500000e-002	       0.2060811	        2.353427
-5.6640625000000e-002	       0.2042184	        1.781484
-5.5664062500000e-002	       0.2035183	         1.14753
-5.4687500000000e-002	       0.2034362	         1.05072
-5.3710937500000e-002	       0.2058359	        1.117381
-5.2734375000000e-002	       0.2068201	      -0.4686706
-5.1757812500000e-002	        0.208587	       -2.270318
-5.0781250000000e-002	       0.2110937	        -3.02952
-4.9804687500000e-002	       0.2123258	       -3.733707
-4.8828125000000e-002	       0.2101263	       -3.528536
-4.7851562500000e-002	       0.2110795	       -2.843691
-4.6875000000000e-002	       0.2092685	       -1.808664
-4.5898437500000e-002	       0.2070496	     -0.04898146
-4.4921875000000e-002	       0.2055685	         1.23258
-4.3945312500000e-002	       0.2038817	        2.453662
-4.2968750000000e-002	       0.2092717	        2.951708
-4.1992187500000e-002	        0.208855	        3.772287
-4.1015625000000e-002	       0.2046775	        3.526107
-4.0039062500000e-002	       0.2047704	        2.973679
-3.9062500000000e-002	       0.2064909	        3.022735
-3.8085937500000e-002	       0.2047177	        2.356109
-3.7109375000000e-002	       0.2022645	        2.209661
-3.6132812500000e-002	       0.1987854	        1.796735
-3.5156250000000e-002	       0.1962193	         1.71525
-3.4179687500000e-002	       0.1966798	        1.603108
-3.3203125000000e-002	       0.1958945	        1.275374
-3.2226562500000e-002	       0.1972606	      -0.6224599
-3.1250000000000e-002	       0.1915023	       -2.043737
-3.0273437500000e-002	       0.1941787	       -2.453945
-2.9296875000000e-002	       0.1937107	       -3.150866
-2.8320312500000e-002	       0.1907228	       -2.747092
-2.7343750000000e-002	       0.1890112	       -1.989093
-2.6367187500000e-002	       0.1874018	      -0.2019239
-2.5390625000000e-002	       0.1896719	        1.147612
-2.4414062500000e-002	       0.1859918	        2.189256
-2.3437500000000e-002	       0.1858674	        2.843956
-2.2460937500000e-002	       0.1844989	        3.593597
-2.1484375000000e-002	       0.1850048	        4.256523
-2.0507812500000e-002	       0.1848349	        3.675765
-1.9531250000000e-002	       0.1831515	        3.382884
-1.8554687500000e-002	       0.1819159	        2.768451
-1.7578125000000e-002	       0.1795338	        2.576442
