Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
0.0000000000000e+000	       0.2099732	       -1.050229
6.2500000000000e-002	     0.004827933	        2.118818
1.2500000000000e-001	    -0.001514904	       0.2122741
1.8750000000000e-001	    -0.001468558	        0.309276
2.5000000000000e-001	   -0.0003325331	        1.042879
3.1250000000000e-001	       0.0022733	        0.454601
3.7500000000000e-001	     0.002851299	       0.9905625
4.3750000000000e-001	     0.001483432	       0.7380924
5.0000000000000e-001	    0.0009463271	       0.6838251
5.6250000000000e-001	     0.002997477	       0.7526328
6.2500000000000e-001	     0.005052852	       0.5268396
6.8750000000000e-001	     0.003755986	       0.5457187
7.5000000000000e-001	     0.002548407	       0.4320985
8.1250000000000e-001	     0.004659966	       0.2949952
8.7500000000000e-001	     0.006385566	       0.2658323
9.3750000000000e-001	      0.00458634	       0.1171484
1.0000000000000e+000	     0.003299736	      0.02962893
1.0625000000000e+000	     0.005036662	     -0.00545159
1.1250000000000e+000	     0.006147123	      -0.0212985
1.1875000000000e+000	     0.006167076	     -0.05810913
1.2500000000000e+000	     0.006906505	      -0.2167247
1.3125000000000e+000	     0.005810709	      -0.3761083
1.3750000000000e+000	     0.004314066	       -0.423956
1.4375000000000e+000	     0.003778596	      -0.4381885
1.5000000000000e+000	     0.004643763	      -0.4092578
1.5625000000000e+000	     0.005511611	       -0.449683
1.6250000000000e+000	     0.004790184	      -0.4369851
1.6875000000000e+000	     0.004294848	      -0.3934191
1.7500000000000e+000	     0.003257977	      -0.4751806
1.8125000000000e+000	     0.004770728	      -0.5262314
1.8750000000000e+000	     0.005587728	      -0.4344823
1.9375000000000e+000	     0.004141759	      -0.5252916
2.0000000000000e+000	     0.004738545	       -0.486164
2.0625000000000e+000	     0.003781273	      -0.4071417
2.1250000000000e+000	     0.003324239	      -0.4276171
2.1875000000000e+000	     0.004351299	      -0.3775381
2.2500000000000e+000	     0.002677031	      -0.4043849
2.3125000000000e+000	     0.002691288	      -0.4246466
2.3750000000000e+000	     0.004288391	      -0.4234071
2.4375000000000e+000	     0.002748501	      -0.4045683
2.5000000000000e+000	     0.001288173	      -0.3892434
2.5625000000000e+000	     0.003087132	      -0.4061061
2.6250000000000e+000	     0.003014984	      -0.3481111
2.6875000000000e+000	     0.001751179	      -0.3147795
2.7500000000000e+000	     0.002285601	      -0.3499531
2.8125000000000e+000	      0.00165892	      -0.3370176
2.8750000000000e+000	     0.000526546	      -0.2698805
2.9375000000000e+000	     0.001145846	       -0.189205
3.0000000000000e+000	    0.0006333361	      -0.1929636
3.0625000000000e+000	    0.0001091994	      -0.1591101
3.1250000000000e+000	    0.0002184587	      -0.1132832
3.1875000000000e+000	  -9.905151e-005	       -0.156615
3.2500000000000e+000	   -0.0004976143	      -0.1355073
3.3125000000000e+000	    -0.001131962	     -0.09061363
3.3750000000000e+000	   -0.0004051235	     -0.05326784
3.4375000000000e+000	   -0.0007699984	     -0.04120369
3.5000000000000e+000	    -0.001460286	     -0.03733031
3.5625000000000e+000	    -0.002261373	     -0.01460956
3.6250000000000e+000	    -0.002678402	      0.01999217
3.6875000000000e+000	    -0.002923563	      0.01462347
3.7500000000000e+000	    -0.002430727	    -0.004231811
3.8125000000000e+000	    -0.002963027	        0.044901
3.8750000000000e+000	    -0.003406586	      0.08145945
3.9375000000000e+000	    -0.003280565	      0.08811268
4.0000000000000e+000	    -0.004028028	      0.07071218
4.0625000000000e+000	    -0.003891011	      0.08335939
4.1250000000000e+000	    -0.004275949	      0.09148128
4.1875000000000e+000	    -0.004661236	       0.1344217
4.2500000000000e+000	    -0.004794167	       0.1641198
4.3125000000000e+000	     -0.00505697	       0.1288612
4.3750000000000e+000	    -0.005502993	       0.1332334
4.4375000000000e+000	    -0.005569891	        0.157749
4.5000000000000e+000	    -0.005672938	       0.1206167
4.5625000000000e+000	    -0.005689442	       0.1493462
4.6250000000000e+000	    -0.005489788	       0.1393009
