Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Magnitude	 Phase

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	        2.960675	               0
1.5625000000000e-001	        3.922186	        1.983996
3.1250000000000e-001	        2.428528	        32.93454
4.6875000000000e-001	        10.28204	       -60.80125
6.2500000000000e-001	         8.41152	       -74.86839
7.8125000000000e-001	        5.654688	       -95.31158
9.3750000000000e-001	        2.574816	       -97.34313
1.0937500000000e+000	        8.368772	        -160.824
1.2500000000000e+000	        2.000133	       -143.9072
1.4062500000000e+000	          4.7897	       -126.4454
1.5625000000000e+000	        3.881539	        -133.475
1.7187500000000e+000	        7.901228	       -131.0046
1.8750000000000e+000	        6.797131	       -123.6398
2.0312500000000e+000	        5.976204	       -161.1125
2.1875000000000e+000	        7.912705	       -156.7538
2.3437500000000e+000	        7.953778	       -146.1679
2.5000000000000e+000	        6.438079	       -159.2872
2.6562500000000e+000	        5.912209	       -121.7255
2.8125000000000e+000	        6.973655	       -150.8842
2.9687500000000e+000	        9.881547	       -154.2623
3.1250000000000e+000	        6.065108	        166.9153
3.2812500000000e+000	        3.606434	       -161.1948
3.4375000000000e+000	        6.280285	       -176.2752
3.5937500000000e+000	        6.656614	        175.8625
3.7500000000000e+000	        4.969982	        179.0549
3.9062500000000e+000	        5.445866	       -165.5863
4.0625000000000e+000	        5.696549	        177.4154
4.2187500000000e+000	        7.336787	        177.1887
4.3750000000000e+000	        7.634367	       -172.1728
4.5312500000000e+000	        6.699943	       -177.0196
4.6875000000000e+000	        7.496306	        154.7045
4.8437500000000e+000	        2.930444	        161.4147
5.0000000000000e+000	        5.624373	        171.4526
5.1562500000000e+000	        6.111882	        171.3941
5.3125000000000e+000	        5.705968	        -175.079
5.4687500000000e+000	        4.833928	       -178.1416
5.6250000000000e+000	        7.798466	       -163.8067
5.7812500000000e+000	        5.767892	       -174.7343
5.9375000000000e+000	        8.147579	        174.0435
6.0937500000000e+000	        6.498144	        172.4162
6.2500000000000e+000	        7.250544	       -176.2833
6.4062500000000e+000	         6.48931	       -176.4067
6.5625000000000e+000	        7.273832	        176.2039
6.7187500000000e+000	        6.689021	        169.6222
6.8750000000000e+000	         7.45291	        176.4163
7.0312500000000e+000	        6.686844	        167.7457
7.1875000000000e+000	        7.595488	       -176.4089
7.3437500000000e+000	        6.816289	        163.4086
7.5000000000000e+000	        6.531604	       -173.1226
7.6562500000000e+000	        6.891452	       -169.6346
7.8125000000000e+000	        6.842223	       -166.4907
7.9687500000000e+000	        8.717266	       -178.1662
8.1250000000000e+000	        7.642741	       -168.6612
8.2812500000000e+000	        8.509232	       -179.8073
8.4375000000000e+000	        8.205883	        179.3926
8.5937500000000e+000	         8.13179	        171.8009
8.7500000000000e+000	        5.838721	       -178.8259
8.9062500000000e+000	        6.240448	       -176.2108
9.0625000000000e+000	        7.909739	        175.1507
9.2187500000000e+000	          6.4929	       -178.2763
9.3750000000000e+000	        8.252216	        -173.533
